# Middle Chinese to Mandarin syllable mapping (work in progress)
# version: 20190512
# author: hhliow (github.com/hhliow)
# license: cc by-nc-sa 4.0
# The Middle Chinese syllables are transcribed using Baxter transcription.
# The Mandarin IPA transcription is intended to reflect the system of 洪武正韻譯訓. The following modern phonetic realization are not marked explicitly:
#  Merge of syllable codae -p -t -k to glottal stop [ʔ];
#  Omission of breathiness in breathy fricatives ʂʱ ʃʱ sʱ fʱ ɦ (resulting in merge with [ʂ] [ʃ] [s] [f] [h]~[x] respectively);
#  Palatalization and frictivization of /k/ /g/ /ŋ/ /ʔ/ /h/ /ɦ/ before /i/ or /y/;
#  Merge of -iaw and -iɛw.
kwangx_ghiunh_entry	middle_chinese_to_mandarin_mapping
203(蒙)	矇(muwng)->矇(mȕŋ)
203(蒙)	懞(muwng)->懞(mȕŋ)
204(冡)	冡(muwng)->冡(mȕŋ)
205(濛)	濛(muwng)->濛(mȕŋ)
206(𩦺)	𩦺(muwng)->𩦺(mȕŋ)
207(艨)	艨(muwng)->艨(mȕŋ)
208(䑃)	䑃(muwng)->䑃(mȕŋ)
209(矇)	矇(muwng)->矇(mȕŋ)
209(矇)	蒙(muwng)->蒙(mȕŋ)
209(矇)	苎(muwng)->苎(mȕŋ)
209(矇)	懞(muwng)->懞(mȕŋ)
209(矇)	朦(muwng)->朦(mȕŋ)
210(饛)	饛(muwng)->饛(mȕŋ)
216(鸏)	鸏(muwng)->鸏(mȕŋ)
217(幪)	幪(muwng)->幪(mȕŋ)
218(罞)	罞(muwng)->罞(mȕŋ)
219(𢄐)	𢄐(muwng)->𢄐(mȕŋ)
220(髳)	髳(muwng)->髳(mȕŋ)
223(雺)	雺(muwng)->雺(mȕŋ)
224(霿)	霿(muwng)->霿(mȕŋ)
226(朦)	朦(muwng)->朦(mȕŋ)
226(朦)	蒙(muwng)->蒙(mȕŋ)
226(朦)	懞(muwng)->懞(mȕŋ)
226(朦)	矇(muwng)->矇(mȕŋ)
226(朦)	苎(muwng)->苎(mȕŋ)
228(懜)	懜(muwng)->懜(mȕŋ)
228(懜)	懵(muwng)->懵(mȕŋ)
257(洪)	洪(huwng)->洪(ɦȕŋ)
257(洪)	洚(huwng)->洚(ɦȕŋ)
258(鉷)	鉷(huwng)->鉷(ɦȕŋ)
259(訌)	訌(huwng)->訌(ɦȕŋ)
260(紅)	紅(huwng)->紅(ɦȕŋ)
261(虹)	虹(huwng)->虹(ɦȕŋ)
263(鴻)	鴻(huwng)->鴻(ɦȕŋ)
264(葒)	葒(huwng)->葒(ɦȕŋ)
266(谼)	谼(huwng)->谼(ɦȕŋ)
269(洚)	洚(huwng)->洚(ɦȕŋ)
269(洚)	洪(huwng)->洪(ɦȕŋ)
270(渱)	渱(huwng)->渱(ɦȕŋ)
279(叢)	叢(dzuwng)->叢(tsʱȕŋ)
279(叢)	樷(dzuwng)->樷(tsʱȕŋ)
280(藂)	藂(dzuwng)->藂(tsʱȕŋ)
281(䕺)	䕺(dzuwng)->䕺(tsʱȕŋ)
282(潨)	潨(dzuwng)->潨(tsʱȕŋ)
282(潨)	潀(dzuwng)->潀(tsʱȕŋ)
283(𥵫)	𥵫(dzuwng)->𥵫(tsʱȕŋ)
284(翁)	翁('uwng)->翁(ʔuŋ)
285(螉)	螉('uwng)->螉(ʔuŋ)
287(蓊)	蓊('uwng)->蓊(ʔuŋ)
291(𩔚)	𩔚('uwng)->𩔚(ʔuŋ)
293(忩)	忩(tshuwng)->忩(tsʰuŋ)
294(葱)	蔥(tshuwng)->蔥(tsʰuŋ)
294(葱)	葱(tshuwng)->葱(tsʰuŋ)
297(聦)	聰(tshuwng)->聰(tsʰuŋ)
297(聦)	聡(tshuwng)->聡(tsʰuŋ)
297(聦)	聦(tshuwng)->聦(tsʰuŋ)
299(𤧚)	璁(tshuwng)->璁(tsʰuŋ)
299(𤧚)	𤧚(tshuwng)->𤧚(tsʰuŋ)
300(騘)	驄(tshuwng)->驄(tsʰuŋ)
300(騘)	騘(tshuwng)->騘(tsʰuŋ)
302(囪)	囱(tshuwng)->囱(tsʰuŋ)
302(囪)	囪(tshuwng)->囪(tsʰuŋ)
307(通)	通(thuwng)->通(tʰuŋ)
308(蓪)	蓪(thuwng)->蓪(tʰuŋ)
309(侗)	侗(thuwng)->侗(tʰuŋ)
310(恫)	恫(thuwng)->恫(tʰuŋ)
311(痌)	痌(thuwng)->痌(tʰuŋ)
313(俑)	俑(thuwng)->俑(tʰuŋ)
316(葼)	葼(tsuwng)->葼(tsuŋ)
317(鬷)	鬷(tsuwng)->鬷(tsuŋ)
319(猣)	猣(tsuwng)->猣(tsuŋ)
320(豵)	豵(tsuwng)->豵(tsuŋ)
322(椶)	椶(tsuwng)->椶(tsuŋ)
322(椶)	棕(tsuwng)->棕(tsuŋ)
323(騣)	騣(tsuwng)->騣(tsuŋ)
323(騣)	鬃(tsuwng)->鬃(tsuŋ)
323(騣)	騌(tsuwng)->騌(tsuŋ)
326(嵸)	嵸(tsuwng)->嵸(tsuŋ)
327(艐)	艐(tsuwng)->艐(tsuŋ)
331(翪)	翪(tsuwng)->翪(tsuŋ)
332(緵)	緵(tsuwng)->緵(tsuŋ)
333(㚇)	㚇(tsuwng)->㚇(tsuŋ)
335(稯)	稯(tsuwng)->稯(tsuŋ)
336(鬉)	鬉(tsuwng)->鬉(tsuŋ)
337(蓬)	蓬(buwng)->蓬(pʱȕŋ)
339(篷)	篷(buwng)->篷(pʱȕŋ)
340(髼)	髼(buwng)->髼(pʱȕŋ)
342(芃)	芃(buwng)->芃(pʱȕŋ)
344(韸)	韸(buwng)->韸(pʱȕŋ)
347(烘)	烘(xuwng)->烘(huŋ)
357(冬)	冬(towng)->冬(tuŋ)
359(苳)	苳(towng)->苳(tuŋ)
362(𩂓)	𩂓(towng)->𩂓(tuŋ)
364(彤)	彤(downg)->彤(tʱȕŋ)
366(佟)	佟(downg)->佟(tʱȕŋ)
368(䳋)	䳋(downg)->䳋(tʱȕŋ)
369(鼕)	鼕(downg)->鼕(tʱȕŋ)
370(𢥞)	𢥞(downg)->𢥞(tʱȕŋ)
373(㤏)	㤏(downg)->㤏(tʱȕŋ)
379(浵)	浵(downg)->浵(tʱȕŋ)
386(賨)	賨(dzowng)->賨(tsʱȕŋ)
387(琮)	琮(dzowng)->琮(tsʱȕŋ)
388(悰)	悰(dzowng)->悰(tsʱȕŋ)
389(潨)	潨(dzowng)->潨(tsʱȕŋ)
389(潨)	潀(dzowng)->潀(tsʱȕŋ)
390(淙)	淙(dzowng)->淙(tsʱȕŋ)
391(慒)	慒(dzowng)->慒(tsʱȕŋ)
397(農)	農(nowng)->農(nȕŋ)
403(𩅽)	𩅽(nowng)->𩅽(nȕŋ)
406(儂)	儂(nowng)->儂(nȕŋ)
409(攻)	攻(kowng)->攻(kuŋ)
410(釭)	釭(kowng)->釭(kuŋ)
411(䃔)	䃔(howng)->䃔(ɦȕŋ)
412(洚)	洚(howng)->洚(ɦȕŋ)
412(洚)	洪(howng)->洪(ɦȕŋ)
414(𩘎)	𩘎(howng)->𩘎(ɦȕŋ)
