index	廣韻小韻	middle_chinese_transcription	mandarin
332	䍲	蟹開二平佳孃	nrea	nȁi
333	崖	蟹開二平佳疑	ngea	ŋjiȁi
334	娃	蟹開二平佳影	'ea	ʔiai
335	崽	蟹開二平佳生	srea	ʂai
336	㗨	蟹開二平佳曉	xea	hiai
337	扠	蟹開二平佳徹	trhea	ʈʂhai
338	䁲	蟹開二平佳明	mea	mȁi
339	鼃	蟹合二平佳匣	hwea	ɦwȁ
340	皆	蟹開二平皆見	keaj	kiai
341	𢰇	蟹開二平皆影	'eaj	ʔiai
342	諧	蟹開二平皆匣	heaj	ɦiȁi
343	排	蟹開二平皆並	beaj	pɦȁi
344	乖	蟹合二平皆見	kweaj	kwai
345	懷	蟹合二平皆匣	hweaj	ɦwȁi
346	匯	蟹合二平皆溪	khweaj	khwai
347	豺	蟹開二平皆崇	dzreaj	ʈʂɦȁi
348	差	蟹開二平皆初	tsrheaj	ʈʂhai
349	虺	蟹合二平皆曉	xweaj	hwai
350	尵	蟹合二平皆澄	drweaj	ʈʂɦwȁi
351	埋	蟹開二平皆明	meaj	mȁi
352	齋	蟹開二平皆莊	tsreaj	ʈʂai
353	崴	蟹合二平皆影	'weaj	ʔwai
354	𪘨	蟹開二平皆知	treaj	ʈʂai
355	唻	蟹開二平皆來	leaj	lȁi
356	揩	蟹開二平皆溪	kheaj	khiai
357	摨	蟹開二平皆孃	nreaj	nȁi
358	崽	蟹開二平皆生	sreaj	ʂai
359	𩂢	蟹開二平皆疑	ngeaj	ŋjiȁi
360	搋	蟹開二平皆徹	trheaj	ʈʂhai
361	𢓬	蟹開二平皆曉	xeaj	hiai
362	䐯	蟹合二平皆來	lweaj	lwȁi
363	膗	蟹合二平皆崇	dzrweaj	ʈʂɦwȁi
364	灰	蟹合一平灰曉	xwoj	hui
365	恢	蟹合一平灰溪	khwoj	khui
366	隈	蟹合一平灰影	'woj	ʔui
367	回	蟹合一平灰匣	hwoj	ɦȕi
368	枚	蟹合一平灰明	mwoj	mȕi
369	傀	蟹合一平灰見	kwoj	kui
370	雷	蟹合一平灰來	lwoj	lȕi
371	穨	蟹合一平灰定	dwoj	tɦȕi
372	崔	蟹合一平灰清	tshwoj	tshui
373	磓	蟹合一平灰端	twoj	tui
374	𤗯	蟹合一平灰心	swoj	sui
375	摧	蟹合一平灰從	dzwoj	tsɦȕi
376	裴	蟹合一平灰並	bwoj	pɦȕi
377	桮	蟹合一平灰幫	pwoj	pui
378	肧	蟹合一平灰滂	phwoj	phui
379	鮠	蟹合一平灰疑	ngwoj	ŋȕi
380	𨌴	蟹合一平灰透	thwoj	thui
381	𢅼	蟹合一平灰泥	nwoj	nȕi
