index	廣韻小韻	middle_chinese_transcription	mandarin
1107	䪜	咸開三平鹽昌	tsyhem	tʃhiɛm
1108	𩓾	咸開三平鹽日	nyem	ʒiɛ̏m
1109	黏	咸開三平鹽孃	nrjem	niɛ̏m
1110	炎	咸開三平鹽云	hjem	jiɛ̏m
1111	霑	咸開三平鹽知	trjem	tʃiɛm
1112	覘	咸開三平鹽徹	trhjem	tʃhiɛm
1113	淹	咸開三平鹽影B	'jem	ʔiɛm
1114	𢜩	咸開三平鹽溪B	khjem	khiɛm
1115	𪙊	咸開三平鹽疑B	ngjem	ŋjiɛ̏m
1116	尖	咸開三平鹽精	tsjem	tsiɛm
1117	潛	咸開三平鹽從	dzjem	tsɦiɛ̏m
1118	箝	咸開三平鹽羣B	gjem	kɦiɛ̏m
1119	懕	咸開三平鹽影A	'jiem	ʔiɛm
1120	燅	咸開三平鹽邪	zjem	sziɛ̏m
1121	襳	咸開三平鹽生	srjem	ʂam
1122	㶣	咸開三平鹽澄	drjem	tʃɦiɛ̏m
1123	鍼	咸開三平鹽羣A	gjiem	kɦiɛ̏m
1124	添	咸開四平添透	them	thiɛm
1125	𩬑	咸開四平添端	tem	tiɛm
1126	甜	咸開四平添定	dem	tɦiɛ̏m
1127	鬑	咸開四平添來	lem	liɛ̏m
1128	謙	咸開四平添溪	khem	khiɛm
1129	兼	咸開四平添見	kem	kiɛm
1130	嫌	咸開四平添匣	hem	ɦiɛ̏m
1131	鮎	咸開四平添泥	nem	niɛ̏m
1132	馦	咸開四平添曉	xem	hiɛm
1133	咸	咸開二平咸匣	heam	ɦiȁm
1134	緘	咸開二平咸見	keam	kiam
1135	攕	咸開二平咸生	sream	ʂam
1136	𤟟	咸開二平咸影	'eam	ʔiam
1137	嵒	咸開二平咸疑	ngeam	ŋjiȁm
1138	㰹	咸開二平咸曉	xeam	hiam
1139	詀	咸開二平咸知	tream	ʈʂam
1140	諵	咸開二平咸孃	nream	nȁm
1141	讒	咸開二平咸崇	dzream	ʈʂɦȁm
1142	鵮	咸開二平咸溪	kheam	khiam
1143	銜	咸開二平銜匣	haem	ɦiȁm
1144	巉	咸開二平銜崇	dzraem	ʈʂɦȁm
1145	巖	咸開二平銜疑	ngaem	ŋjiȁm
1146	攙	咸開二平銜初	tsrhaem	ʈʂham
1147	衫	咸開二平銜生	sraem	ʂam
1148	監	咸開二平銜見	kaem	kiam
1149	𨂝	咸開二平銜並	baem	pɦȁm
1150	嵌	咸開二平銜溪	khaem	khiam
1151	嚴	咸開三平嚴疑	ngjaem	ŋjiɛ̏m
1152	𩏩	咸開三平嚴曉	xjaem	hiɛm
1153	醃	咸開三平嚴影	'jaem	ʔiɛm
1154	㪁	咸開三平嚴溪	khjaem	khiɛm
1155	凡	咸合三平凡並	bjom	fvȁm
1156	䒦	咸合三平凡滂	phjom	fam
1157	董	通開一上東端	tuwngX	tûŋ
1158	蠓	通開一上東明	muwngX	mûŋ
1159	孔	通開一上東溪	khuwngX	khûŋ
1160	㪌	通開一上東心	suwngX	sûŋ
1161	侗	通開一上東透	thuwngX	thûŋ
1162	緫	通開一上東精	tsuwngX	tsûŋ
1163	澒	通開一上東匣	huwngX	ɦǔŋ'
1164	蓊	通開一上東影	'uwngX	ʔûŋ
1165	𨑊	通開一上東泥	nuwngX	nûŋ
1166	琫	通開一上東幫	puwngX	pûŋ
1167	曨	通開一上東來	luwngX	lûŋ
1168	嗊	通開一上東曉	xuwngX	hûŋ
1169	動	通開一上東定	duwngX	dǔŋ'
1170	菶	通開一上東並	buwngX	bǔŋ'
1171	腫	通開三上鍾章	tsyowngX	tʃyûŋ
1172	寵	通開三上鍾徹	trhjowngX	tʃhyûŋ
1173	隴	通開三上鍾來	ljowngX	lyûŋ
1174	擁	通開三上鍾影	'jowngX	ʔyûŋ
1175	宂	通開三上鍾日	nyowngX	ʒyûŋ
1176	重	通開三上鍾澄	drjowngX	dʒyǔŋ'
1177	冢	通開三上鍾知	trjowngX	tʃyûŋ
1178	奉	通開三上鍾並	bjowngX	fvǔŋ'
1179	捧	通開三上鍾滂	phjowngX	fûŋ
1180	勇	通開三上鍾以	yowngX	jyûŋ
1181	恐	通開三上鍾溪	khjowngX	khyûŋ
1182	尰	通開三上鍾常	dzyowngX	ʃʒyǔŋ'
1183	拱	通開三上鍾見	kjowngX	kyûŋ
1184	悚	通開三上鍾心	sjowngX	syûŋ
1185	洶	通開三上鍾曉	xjowngX	hyûŋ
1186	覂	通開三上鍾幫	pjowngX	fûŋ
1187	湩	通開一上冬端	towngX	tûŋ
1188	𪁪	通開一上冬明	mowngX	mûŋ
1189	䅃	通開三上鍾羣	gjowngX	gyǔŋ'
1190	𨿿	通開三上鍾昌	tsyhowngX	tʃhyûŋ
1191	𢃭	通開三上鍾章	tsyowngX	tʃyûŋ
1192	䙕	通開三上鍾精	tsjowngX	tsyûŋ
1193	講	江開二上江見	kaewngX	kiɑ̂ŋ
1194	㭋	江開二上江並	baewngX	bɑ̌ŋ'
1195	慃	江開二上江影	'aewngX	ʔiɑ̂ŋ
1196	𠈵	江開二上江明	maewngX	mɑ̂ŋ
1197	項	江開二上江匣	haewngX	ɦiɑ̌ŋ'
1198	𦂌	江開二上江幫	paewngX	pɑ̂ŋ
1199	傋	江開二上江曉	xaewngX	hiɑ̂ŋ
1200	紙	止開三上支章	tsyeX	tʃiɨ̂
1201	是	止開三上支常	dzyeX	ʃʒiɨ̌'
1202	靡	止開三上支明B	mjeX	mî
1203	彼	止開三上支幫B	pjeX	pî
1204	被	止開三上支並B	bjeX	bǐ'
1205	毀	止合三上支曉B	xjweX	hûi
1206	委	止合三上支影B	'jweX	ʔûi
1207	跪	止合三上支溪B	khjweX	khûi
1208	詭	止合三上支見B	kjweX	kûi
1209	髓	止合三上支心	sjweX	sûi
1210	絫	止合三上支來	ljweX	lûi
1211	技	止開三上支羣B	gjeX	gǐ'
1212	倚	止開三上支影B	'jeX	ʔî
1213	掎	止開三上支見B	kjeX	kî
1214	綺	止開三上支溪B	khjeX	khî
1215	螘	止開三上支疑B	ngjeX	ŋjî
1216	蔿	止合三上支云	hjweX	ûi
1217	觜	止合三上支精	tsjweX	tsûi
1218	蘂	止合三上支日	nyweX	ʒûi
1219	此	止開三上支清	tshjeX	tshɨ̂
1220	豸	止開三上支澄	drjeX	dʒǐ'
1221	徙	止開三上支心	sjeX	sɨ̂
1222	酏	止開三上支以	yeX	jî
1223	邐	止開三上支來	ljeX	lî
1224	躧	止開三上支生	srjeX	ʂɨ̂
1225	𢔌	止開三上支幫A	pjieX	pî
1226	爾	止開三上支日	nyeX	ɻ̂
1227	渳	止開三上支明A	mjieX	mî
1228	婢	止開三上支並A	bjieX	bǐ'
1229	侈	止開三上支昌	tsyheX	tʃhiɨ̂
1230	弛	止開三上支書	syeX	ʃiɨ̂
1231	紫	止開三上支精	tsjeX	tsɨ̂
1232	捶	止合三上支章	tsyweX	ʈʂûi
1233	揣	止合三上支初	tsrhjweX	ʈʂhûi
1234	𤢍	止合三上支邪	zjweX	szǔi'
1235	舓	止開三上支船	zyeX	ʃʒiɨ̌'
1236	㧗	止開三上支莊	tsrjeX	ʈʂɨ̂
1237	㱟	止開三上支滂B	phjeX	phî
1238	諀	止開三上支滂A	phjieX	phî
1239	䓈	止合三上支以	yweX	ûi
1240	惢	止合三上支從	dzjweX	dzǔi'
1241	跬	止合三上支溪A	khjwieX	khûi
1242	狔	止開三上支孃	nrjeX	nî
1243	硊	止合三上支疑B	ngjweX	ŋûi
1244	跪	止合三上支羣B	gjweX	gǔi'
1245	褫	止開三上支徹	trhjeX	tʃhî
1246	㨖	止開三上支知	trjeX	tʃî
1247	𪖪	止開三上支曉B	xjeX	hî
1248	企	止開三上支溪A	khjieX	khî
1249	菙	止合三上支常	dzyweX	ʂʐǔi'
1250	枳	止開三上支見A	kjieX	kî
1251	旨	止開三上脂章	tsyijX	tʃiɨ̂
1252	視	止開三上脂常	dzyijX	ʃʒiɨ̌'
1253	美	止開三上脂明B	mijX	mî
1254	鄙	止開三上脂幫B	pijX	pî
1255	兕	止開三上脂邪	zijX	szɨ̌'
1256	几	止開三上脂見B	kijX	kî
1257	𡛷	止開三上脂精	tsijX	tsɨ̂
1258	匕	止開三上脂幫A	pjijX	pî
1259	軌	止合三上脂見B	kwijX	kûi
1260	洧	止合三上脂云	hwijX	ûi
1261	矢	止開三上脂書	syijX	ʃiɨ̂
1262	雉	止開三上脂澄	drijX	dʒǐ'
1263	死	止開三上脂心	sijX	sɨ̂
1264	牝	止開三上脂並A	bjijX	bǐ'
1265	履	止開三上脂來	lijX	lî
1266	水	止合三上脂書	sywijX	ʂûi
1267	壘	止合三上脂來	lwijX	lûi
1268	揆	止合三上脂羣A	gjwijX	gǔi'
1269	趡	止合三上脂清	tshwijX	tshûi
1270	柅	止開三上脂孃	nrijX	nî
1271	癸	止合三上脂見A	kjwijX	kûi
1272	否	止開三上脂並B	bijX	bǐ'
1273	㠑	止合三上脂從	dzwijX	dzǔi'
1274	嚭	止開三上脂滂B	phijX	phî
1275	蕊	止合三上脂日	nywijX	ʒûi
1276	唯	止合三上脂以	ywijX	ûi
1277	㰻	止開三上脂影B	'ijX	ʔî
1278	濢	止合三上脂精	tswijX	tsûi
1279	黹	止開三上脂知	trijX	tʃî
1280	𡳭	止開三上脂徹	trhijX	tʃhî
1281	𧿲	止開三上脂章	tsyijX	tʃiɨ̂
1282	䁤	止合三上脂曉A	xjwijX	hûi
1283	䣀	止合三上脂羣B	gwijX	gǔi'
1284	跽	止開三上脂羣B	gijX	gǐ'
1285	巋	止合三上脂溪B	khwijX	khûi
1286	止	止開三上之章	tsyiX	tʃiɨ̂
1287	市	止開三上之常	dzyiX	ʃʒiɨ̌'
1288	徵	止開三上之知	triX	tʃî
1289	喜	止開三上之曉	xiX	hî
1290	紀	止開三上之見	kiX	kî
1291	以	止開三上之以	yiX	jî
1292	似	止開三上之邪	ziX	szɨ̌'
1293	史	止開三上之生	sriX	ʂɨ̂
1294	耳	止開三上之日	nyiX	ɻ̂
1295	里	止開三上之來	liX	lî
1296	枲	止開三上之心	siX	sɨ̂
1297	始	止開三上之書	syiX	ʃiɨ̂
1298	歭	止開三上之澄	driX	dʒǐ'
1299	起	止開三上之溪	khiX	khî
1300	士	止開三上之崇	dzriX	ɖʐɨ̂
1301	俟	止開三上之俟	zriX	ʂʐɨ̌'
1302	子	止開三上之精	tsiX	tsɨ̂
1303	矣	止開三上之云	hiX	jî
1304	擬	止開三上之疑	ngiX	ŋjî
1305	齒	止開三上之昌	tsyhiX	tʃhiɨ̂
1306	恥	止開三上之徹	trhiX	tʃhî
1307	㓼	止開三上之初	tsrhiX	ʈʂhɨ̂
1308	滓	止開三上之莊	tsriX	ʈʂɨ̂
1309	譩	止開三上之影	'iX	ʔî
1310	伱	止開三上之孃	nriX	nî
1311	尾	止合三上微明	mj+jX	vî
1312	扆	止開三上微影	'j+jX	ʔî
1313	豈	止開三上微溪	khj+jX	khî
1314	蟣	止開三上微見	kj+jX	kî
1315	斐	止合三上微滂	phj+jX	fî
1316	匪	止合三上微幫	pj+jX	fî
1317	韙	止合三上微云	hjw+jX	ûi
1318	鬼	止合三上微見	kjw+jX	kûi
1319	虺	止合三上微曉	xjw+jX	hûi
1320	顗	止開三上微疑	ngj+jX	ŋjî
1321	豨	止開三上微曉	xj+jX	hî
1322	磈	止合三上微影	'jw+jX	ʔûi
1323	膹	止合三上微並	bj+jX	fvǐ'
1324	語	遇開三上魚疑	ngjoX	ŋjŷ
1325	吕	遇開三上魚來	ljoX	lŷ
1326	佇	遇開三上魚澄	drjoX	dʒy̌'
1327	與	遇開三上魚以	yoX	jŷ
1328	䰞	遇開三上魚章	tsyoX	tʃŷ
1329	汝	遇開三上魚日	nyoX	ʒŷ
1330	暑	遇開三上魚書	syoX	ʃŷ
1331	杵	遇開三上魚昌	tsyhoX	tʃhŷ
1332	貯	遇開三上魚知	trjoX	tʃŷ
1333	諝	遇開三上魚心	sjoX	sŷ
1334	楮	遇開三上魚徹	trhjoX	tʃhŷ
1335	女	遇開三上魚孃	nrjoX	nŷ
1336	許	遇開三上魚曉	xjoX	hŷ
1337	巨	遇開三上魚羣	gjoX	gy̌'
1338	所	遇開三上魚生	srjoX	ʂû
1339	楚	遇開三上魚初	tsrhjoX	ʈʂhû
1340	阻	遇開三上魚莊	tsrjoX	ʈʂû
1341	齟	遇開三上魚崇	dzrjoX	ɖʐû
1342	咀	遇開三上魚從	dzjoX	dzy̌'
1343	𢮁	遇開三上魚影	'joX	ʔŷ
1344	舉	遇開三上魚見	kjoX	kŷ
1345	敘	遇開三上魚邪	zjoX	szy̌'
1346	去	遇開三上魚溪	khjoX	khŷ
1347	紓	遇開三上魚船	zyoX	ʃʒy̌'
1348	野	遇開三上魚常	dzyoX	ʃʒy̌'
1349	𤿚	遇開三上魚清	tshjoX	tshŷ
1350	苴	遇開三上魚精	tsjoX	tsŷ
1351	麌	遇合三上虞疑	ngjuX	ŋjŷ
1352	羽	遇合三上虞云	hjuX	jŷ
1353	聚	遇合三上虞從	dzjuX	dzy̌'
1354	甫	遇合三上虞幫	pjuX	fû
1355	武	遇合三上虞明	mjuX	vû
1356	父	遇合三上虞並	bjuX	fvǔ'
1357	撫	遇合三上虞滂	phjuX	fû
1358	柱	遇合三上虞澄	drjuX	dʒy̌'
1359	詡	遇合三上虞曉	xjuX	hŷ
1360	豎	遇合三上虞常	dzyuX	ʃʒy̌'
1361	庾	遇合三上虞以	yuX	jŷ
1362	主	遇合三上虞章	tsyuX	tʃŷ
1363	傴	遇合三上虞影	'juX	ʔŷ
1364	齲	遇合三上虞溪	khjuX	khŷ
1365	拄	遇合三上虞知	trjuX	tʃŷ
1366	乳	遇合三上虞日	nyuX	ʒŷ
1367	窶	遇合三上虞羣	gjuX	gy̌'
1368	數	遇合三上虞生	srjuX	ʂû
1369	矩	遇合三上虞見	kjuX	kŷ
1370	取	遇合三上虞清	tshjuX	tshŷ
1371	縷	遇合三上虞來	ljuX	lŷ
1372	𦄼	遇合三上虞心	sjuX	sŷ
1373	䝒	遇合三上虞崇	dzrjuX	ɖʐû
1374	姥	遇開一上模明	muX	mû
1375	土	遇開一上模透	thuX	thû
1376	杜	遇開一上模定	duX	dǔ'
1377	魯	遇開一上模來	luX	lû
1378	蔖	遇開一上模清	tshuX	tshû
1379	覩	遇開一上模端	tuX	tû
1380	古	遇開一上模見	kuX	kû
1381	五	遇開一上模疑	nguX	ŋû
1382	簿	遇開一上模並	buX	bǔ'
1383	粗	遇開一上模從	dzuX	dzǔ'
1384	祖	遇開一上模精	tsuX	tsû
1385	虎	遇開一上模曉	xuX	hû
1386	隖	遇開一上模影	'uX	ʔû
1387	苦	遇開一上模溪	khuX	khû
1388	怒	遇開一上模泥	nuX	nû
1389	戸	遇開一上模匣	huX	ɦǔ'
1390	普	遇開一上模滂	phuX	phû
1391	補	遇開一上模幫	puX	pû
1392	薺	蟹開四上齊從	dzejX	dziɪ̌i'
1393	禮	蟹開四上齊來	lejX	liɪ̂i
1394	體	蟹開四上齊透	thejX	thiɪ̂i
1395	䫌	蟹開四上齊滂	phejX	phiɪ̂i
1396	濟	蟹開四上齊精	tsejX	tsiɪ̂i
1397	邸	蟹開四上齊端	tejX	tiɪ̂i
1398	弟	蟹開四上齊定	dejX	diɪ̌i'
1399	禰	蟹開四上齊泥	nejX	niɪ̂i
1400	洗	蟹開四上齊心	sejX	siɪ̂i
1401	泚	蟹開四上齊清	tshejX	tshiɪ̂i
1402	啓	蟹開四上齊溪	khejX	khiɪ̂i
1403	徯	蟹開四上齊曉	xejX	hiɪ̂i
1404	米	蟹開四上齊明	mejX	miɪ̂i
1405	陛	蟹開四上齊並	bejX	biɪ̌i'
1406	𠯋	蟹開四上齊影	'ejX	ʔiɪ̂i
1407	堄	蟹開四上齊疑	ngejX	ŋjiɪ̂i
1408	㪏	蟹開四上齊幫	pejX	piɪ̂i
1409	蟹	蟹開二上佳匣	heaX	ɦiǎi'
1410	買	蟹開二上佳明	meaX	mâi
1411	䒓	蟹開二上佳溪	kheaX	khiâi
1412	廌	蟹開二上佳澄	dreaX	ɖʐâi
1413	嬭	蟹開二上佳孃	nreaX	nâi
1414	罷	蟹開二上佳並	beaX	bǎi'
1415	矮	蟹開二上佳影	'eaX	ʔiâi
1416	擺	蟹開二上佳幫	peaX	pâi
1417	解	蟹開二上佳見	keaX	kiâi
1418	灑	蟹開二上佳生	sreaX	ʂâi
1419	𦫳	蟹合二上佳見	kweaX	kwâ
1420	㧳	蟹合二上佳澄	drweaX	ɖʐwâ
1421	夥	蟹合二上佳匣	hweaX	ɦwǎ'
1422	扮	蟹合二上佳曉	xweaX	hwâ
1423	箉	蟹開二上佳羣	geaX	giǎi'
1424	駭	蟹開二上皆匣	heajX	ɦiǎi'
1425	楷	蟹開二上皆溪	kheajX	khiâi
1426	騃	蟹開二上皆疑	ngeajX	ŋjiâi
1427	挨	蟹開二上皆影	'eajX	ʔiâi
1428	賄	蟹合一上灰曉	xwojX	hûi
1429	猥	蟹合一上灰影	'wojX	ʔûi
1430	磥	蟹合一上灰來	lwojX	lûi
1431	錞	蟹合一上灰定	dwojX	dǔi'
1432	辠	蟹合一上灰從	dzwojX	dzǔi'
1433	浼	蟹合一上灰明	mwojX	mûi
1434	骽	蟹合一上灰透	thwojX	thûi
1435	瘣	蟹合一上灰匣	hwojX	ɦǔi'
1436	䫥	蟹合一上灰溪	khwojX	khûi
1437	𦞙	蟹合一上灰端	twojX	tûi
1438	餧	蟹合一上灰泥	nwojX	nûi
1439	𩬳	蟹合一上灰知	trwojX	ʈʂûi
1440	頠	蟹合一上灰疑	ngwojX	ŋûi
1441	皠	蟹合一上灰清	tshwojX	tshûi
1442	琲	蟹合一上灰並	bwojX	bǔi'
1443	嶊	蟹合一上灰精	tswojX	tsûi
1444	倄	蟹合一上灰云	hwojX	ûi
1445	海	蟹開一上咍曉	xojX	hâi
1446	愷	蟹開一上咍溪	khojX	khâi
1447	宰	蟹開一上咍精	tsojX	tsâi
1448	駘	蟹開一上咍定	dojX	dǎi'
1449	乃	蟹開一上咍泥	nojX	nâi
1450	改	蟹開一上咍見	kojX	kâi
1451	亥	蟹開一上咍匣	hojX	ɦǎi'
1452	啡	蟹開一上咍滂	phojX	phâi
1453	采	蟹開一上咍清	tshojX	tshâi
1454	茝	蟹開一上咍昌	tsyhojX	tʃhâi
1455	等	蟹開一上咍端	tojX	tâi
1456	䆀	蟹開一上咍明	mojX	mâi
1457	在	蟹開一上咍從	dzojX	dzǎi'
1458	俖	蟹開一上咍滂	phojX	phâi
1459	欸	蟹開一上咍影	'ojX	ʔâi
1460	佁	蟹開一上咍以	yojX	jâi
1461	㘆	蟹開一上咍透	thojX	thâi
1462	疓	蟹開一上咍日	nyojX	ʒâi
1463	𨦂	蟹開一上咍來	lojX	lâi
1464	䑂	蟹開一上咍以	yojX	jâi
1465	倍	蟹開一上咍並	bojX	bǎi'
1466	軫	臻開三上眞章	tsyinX	tʃîn
1467	辴	臻開三上眞徹	trhinX	tʃhîn
1468	腎	臻開三上眞常	dzyinX	ʃʒǐn'
1469	忍	臻開三上眞日	nyinX	ʒîn
1470	矤	臻開三上眞書	syinX	ʃîn
1471	嶙	臻開三上眞來	linX	lîn
1472	紖	臻開三上眞澄	drinX	dʒǐn'
1473	緊	臻開三上眞見A	kjinX	kîn
1474	盡	臻開三上眞從	dzinX	dzǐn'
1475	㯸	臻開三上眞精	tsinX	tsîn
1476	牝	臻開三上眞並A	bjinX	bǐn'
1477	釿	臻開三上眞疑B	nginX	ŋjîn
1478	笉	臻開三上眞清	tshinX	tshîn
1479	窘	臻合三上眞羣B	gwinX	gyǔn'
1480	引	臻開三上眞以	yinX	jîn
1481	愍	臻開三上眞明B	minX	mîn
1482	泯	臻開三上眞明A	mjinX	mîn
1483	殞	臻合三上眞云	hwinX	jyûn
1484	準	臻合三上諄章	tsywinX	tʃyûn
1485	尹	臻合三上諄以	ywinX	jyûn
1486	筍	臻合三上諄心	swinX	syûn
1487	蝡	臻合三上諄日	nywinX	ʒyûn
1488	蠢	臻合三上諄昌	tsyhwinX	tʃhyûn
1489	盾	臻合三上諄船	zywinX	ʃʒyǔn'
1490	偆	臻合三上諄徹	trhwinX	tʃhyûn
1491	耣	臻合三上諄來	lwinX	lyûn
1492	𣯍	臻合三上諄日	nywinX	ʒyûn
1493	𦃢	臻合三上諄溪	khjwinX	khyûn
1494	螼	臻開三上眞溪A	khjinX	khîn
1495	賰	臻合三上諄書	sywinX	ʃyûn
1496	脪	臻開三上眞曉A	xjinX	hîn
1497	濜	臻開三上眞崇	dzrinX	ɖʐə̂n
1498	屒	臻開三上眞知	trinX	tʃîn
1499	吻	臻合三上文明	mjunX	vûn
1500	粉	臻合三上文幫	pjunX	fûn
1501	憤	臻合三上文並	bjunX	fvǔn'
1502	忿	臻合三上文滂	phjunX	fûn
1503	惲	臻合三上文影	'junX	ʔyûn
1504	齳	臻合三上文疑	ngjunX	ŋjyûn
1505	抎	臻合三上文云	hjunX	jyûn
1506	𧼐	臻合三上文溪	khjunX	khyûn
1507	隱	臻開三上欣影	'j+nX	ʔîn
1508	謹	臻開三上欣見	kj+nX	kîn
1509	𧤛	臻開三上臻莊	tsrinX	ʈʂə̂n
1510	赾	臻開三上欣溪	khj+nX	khîn
1511	近	臻開三上欣羣	gj+nX	gǐn'
1512	齔	臻開三上臻初	tsrhinX	ʈʂhə̂n
1513	听	臻開三上欣疑	ngj+nX	ŋjîn
1514	䘆	臻開三上欣曉	xj+nX	hîn
1515	阮	臻合三上元疑	ngjwonX	ŋjyuɛ̂n
1516	遠	臻合三上元云	hjwonX	jyuɛ̂n
1517	偃	臻開三上元影	'jonX	ʔiɛ̂n
1518	湕	臻開三上元見	kjonX	kiɛ̂n
1519	寋	臻開三上元羣	gjonX	giɛ̌n'
1520	𧥛	臻開三上元溪	khjonX	khiɛ̂n
1521	𧥜	臻開三上元疑	ngjonX	ŋjiɛ̂n
1522	幰	臻開三上元曉	xjonX	hiɛ̂n
1523	晚	臻合三上元明	mjonX	vân
1524	反	臻合三上元幫	pjonX	fân
1525	𧯦	臻合三上元羣	gjwonX	gyuɛ̌n'
1526	婉	臻合三上元影	'jwonX	ʔyuɛ̂n
1527	䅚	臻合三上元溪	khjwonX	khyuɛ̂n
1528	暅	臻合三上元曉	xjwonX	hyuɛ̂n
1529	飯	臻合三上元並	bjonX	fvǎn'
1530	混	臻合一上魂匣	hwonX	ɦǔn'
1531	翉	臻合一上魂滂	phwonX	phûn
1532	忖	臻合一上魂清	tshwonX	tshûn
1533	本	臻合一上魂幫	pwonX	pûn
1534	損	臻合一上魂心	swonX	sûn
1535	𠟃	臻合一上魂精	tswonX	tsûn
1536	穩	臻合一上魂影	'wonX	ʔûn
1537	囤	臻合一上魂定	dwonX	dǔn'
1538	鱒	臻合一上魂從	dzwonX	dzǔn'
1539	𩩌	臻合一上魂見	kwonX	kûn
1540	畽	臻合一上魂透	thwonX	thûn
1541	閫	臻合一上魂溪	khwonX	khûn
1542	㤻	臻合一上魂來	lwonX	lûn
1543	獖	臻合一上魂並	bwonX	bǔn'
1544	懣	臻合一上魂明	mwonX	mûn
1545	㶧	臻合一上魂泥	nwonX	nûn
1546	𦃕	臻合一上魂曉	xwonX	hûn
1547	很	臻開一上痕匣	honX	ɦə̌n'
1548	墾	臻開一上痕溪	khonX	khə̂n
1549	䫀	臻開一上痕見	konX	kə̂n
1550	旱	山開一上寒匣	hanX	ɦɑ̌n'
1551	亶	山開一上寒端	tanX	tân
1552	坦	山開一上寒透	thanX	thân
1553	散	山開一上寒心	sanX	sân
1554	但	山開一上寒定	danX	dǎn'
1555	瓉	山開一上寒從	dzanX	dzǎn'
1556	笴	山開一上寒見	kanX	kɑ̂n
1557	嬾	山開一上寒來	lanX	lân
1558	侃	山開一上寒溪	khanX	khɑ̂n
1559	䍐	山開一上寒曉	xanX	hɑ̂n
1560	䰖	山開一上寒精	tsanX	tsân
1561	緩	山合一上桓匣	hwanX	ɦwɔ̌n'
1562	短	山合一上桓端	twanX	twɔ̂n
1563	椀	山合一上桓影	'wanX	ʔwɔ̂n
1564	疃	山合一上桓透	thwanX	thwɔ̂n
1565	算	山合一上桓心	swanX	swɔ̂n
1566	管	山合一上桓見	kwanX	kwɔ̂n
1567	卵	山合一上桓來	lwanX	lwɔ̂n
1568	款	山合一上桓溪	khwanX	khwɔ̂n
1569	煗	山合一上桓泥	nwanX	nwɔ̂n
1570	纂	山合一上桓精	tswanX	tswɔ̂n
1571	伴	山合一上桓並	banX	bwɔ̌n'
1572	滿	山合一上桓明	manX	mwɔ̂n
1573	粄	山合一上桓幫	panX	pwɔ̂n
1574	鄹	山合一上桓邪	zwanX	szwɔ̌n'
1575	斷	山合一上桓定	dwanX	dwɔ̌n'
1576	攤	山開一上寒泥	nanX	nân
1577	坢	山合一上桓滂	phanX	phwɔ̂n
1578	潸	山開二上刪生	sraenX	ʂân
1579	綰	山合二上刪影	'waenX	ʔwân
1580	版	山開二上刪幫	paenX	pân
1581	䩆	山開二上刪莊	tsraenX	ʈʂân
1582	赧	山開二上刪孃	nraenX	nân
1583	僩	山開二上刪匣	haenX	ɦiǎn'
1584	睆	山合二上刪匣	hwaenX	ɦwǎn'
1585	阪	山開二上刪並	baenX	bǎn'
1586	矕	山開二上刪明	maenX	mân
1587	𪘪	山開二上刪崇	dzraenX	ɖʐân
1588	𪗙	山開二上刪疑	ngaenX	ŋjiân
1589	㹽	山開二上刪初	tsrhaenX	ʈʂhân
1590	眅	山開二上刪滂	phaenX	phân
1591	撰	山合二上刪崇	dzrwaenX	ɖʐwân
1592	産	山開二上山生	sreanX	ʂân
1593	限	山開二上山匣	heanX	ɦiǎn'
1594	𥇅	山開二上山明	meanX	mân
1595	簡	山開二上山見	keanX	kiân
1596	剗	山開二上山初	tsrheanX	ʈʂhân
1597	棧	山開二上山崇	dzreanX	ɖʐân
1598	眼	山開二上山疑	ngeanX	ŋjiân
1599	醆	山開二上山莊	tsreanX	ʈʂân
1600	㦃	山合二上山初	tsrhweanX	ʈʂhwân
1601	齦	山開二上山溪	kheanX	khiân
1602	銑	山開四上先心	senX	siɛ̂n
1603	腆	山開四上先透	thenX	thiɛ̂n
1604	典	山開四上先端	tenX	tiɛ̂n
1605	蝘	山開四上先影	'enX	ʔiɛ̂n
1606	殄	山開四上先定	denX	diɛ̌n'
1607	繭	山開四上先見	kenX	kiɛ̂n
1608	峴	山開四上先匣	henX	ɦiɛ̌n'
1609	顯	山開四上先曉	xenX	hiɛ̂n
1610	㨠	山開四上先明	menX	miɛ̂n
1611	撚	山開四上先泥	nenX	niɛ̂n
1612	編	山開四上先幫	penX	piɛ̂n
1613	泫	山合四上先匣	hwenX	ɦyuɛ̌n'
1614	𡿨	山合四上先見	kwenX	kyuɛ̂n
1615	辮	山開四上先並	benX	biɛ̌n'
1616	犬	山合四上先溪	khwenX	khyuɛ̂n
1617	𥧬	山開四上先溪	khenX	khiɛ̂n
1618	齞	山開四上先疑	ngenX	ŋjiɛ̂n
1619	獮	山開三上仙心	sjenX	siɛ̂n
1620	演	山開三上仙以	yenX	jiɛ̂n
1621	踐	山開三上仙從	dzjenX	dziɛ̌n'
1622	展	山開三上仙知	trjenX	tʃiɛ̂n
1623	𦗢	山開三上仙章	tsyenX	tʃiɛ̂n
1624	趁	山開三上仙孃	nrjenX	niɛ̂n
1625	淺	山開三上仙清	tshjenX	tshiɛ̂n
1626	闡	山開三上仙昌	tsyhenX	tʃhiɛ̂n
1627	遣	山開三上仙溪A	khjienX	khiɛ̂n
1628	蹇	山開三上仙見B	kjenX	kiɛ̂n
1629	善	山開三上仙常	dzyenX	ʃʒiɛ̌n'
