正韻卷番	韻目	IPA	正韻小韻分隔	正韻字頭	正韻反切	ytenx小韻番	正韻牋字頭(ytenx)	正韻牋反切(ytenx)
2	皆	tʂai	○	齋	莊皆切	125	齋	莊皆切
2	皆	ʈʂɦȁi	○	豺	牀皆切	126	豺	牀皆切
2	皆	pɦȁi	○	排	步皆切	127	排	步皆切
2	皆	mȁi	○	埋	謨皆切	128	埋	謨皆切
2	皆	ʂai	○	簁	所皆切	129	簁	所皆切
2	皆	(ŋ)jiȁi	○	涯	宜皆切	130	涯	宜皆切
2	皆	hai	○	咍	呼來切	131	咍	呼來切
2	皆	khai	○	開	丘哀切	132	開	丘哀切
2	皆	kai	○	該	柯開切	133	該	柯開切
2	皆	ɦȁi	○	孩	何開切	134	孩	何開切
2	皆	ʔai	○	哀	於開切	135	哀	於開切
2	皆	ŋȁi	○	皚	魚開切	136	皚	魚開切
2	皆	thai	○	胎	湯來切	137	胎	湯來切
2	皆	tɦȁi	○	臺	堂來切	138	臺	堂來切
2	皆	nȁi	○	能	囊來切	139	能	囊來切
2	皆	lȁi	○	來	郎才切	140	來	郎才切
2	皆	sai	○	䚡	桑才切	141	䚡	桑才切
2	皆	tshai	○	猜	倉才切	142	猜	倉才切
2	皆	tsai	○	哉	將來切	143	哉	將來切
2	皆	tsɦȁi	○	裁	牆來切	144	裁	牆來切
2	灰	hui	七灰¶¶	灰	呼回切	145	灰	呼回切
2	灰	khui	○	恢	枯回切	146	恢	枯回切
2	灰	ʔui	○	煨	烏魁切	147	煨	烏魁切
2	灰	kui	○	傀	姑回切	148	傀	姑回切
2	灰	kui	○	規	居爲切	149	規	居爲切
2	灰	ɦȕi	○	回	胡瑰切	150	回	胡瑰切
2	灰	ŋȕi	○	危	吾回切	151	危	吾回切
2	灰	tui	○	堆	都回切	152	堆	都回切
2	灰	thui	○	推	通回切	153	推	通回切
2	灰	tɦȕi	○	隤	徒回切	154	隤	徒回切
2	灰	lȕi	○	雷	盧回切	155	雷	盧回切
2	灰	tshui	○	崔	倉回切	156	崔	倉回切
2	灰	pui	○	杯	晡回切	157	杯	晡回切
2	灰	phui	○	丕	鋪杯切	158	丕	鋪杯切
2	灰	mȕi	○	枚	謨杯切	159	枚	謨杯切
2	灰	tʃɦȕi	○	垂	直追切	160	垂	直追切
2	灰	szȕi	○	隨	旬威切	161	隨	旬威切
2	灰	tʃui	○	隹	朱惟切	162	隹	朱惟切
2	灰	ʒȕi	○	甤	如佳切	163	甤	如隹切
