# version: 20210217						
# author: hhliow (github.com/hhliow)						
# license: cc by-nc-sa 4.0						
index	廣韻小韻	middle_chinese	Baxter_transcription	中州音(IPA)	中州音	推導國音
2154	豉	止開三去支常	dzyeH	ʃʱiɨ˨˦	ㄕ꜅	ㄕ꜄
2155	積	止開三去支精	tsjeH	tsɨ˨˦	ㄗㄭ꜄	ㄗ꜄
2156	賜	止開三去支心	sjeH	sɨ˨˦	ㄙㄭ꜄	ㄙ꜄
2157	爲	止合三去支云	hjweH	ui˨˦	ㄨㄟ꜅	ㄨㄟ꜄
2158	䞈	止合三去支見B	kjweH	kui˨˦	ㄍㄨㄟ꜄	ㄍㄨㄟ꜄
2159	帔	止開三去支滂B	phjeH	pʰi˨˦	ㄆㄧ꜄	ㄆㄧ꜄
2160	賁	止開三去支幫B	pjeH	pi˨˦	ㄅㄧ꜄	ㄅㄧ꜄
2161	髲	止開三去支並B	bjeH	bi˨˦	ㆠㄧ꜅	ㄅㄧ꜄
2162	累	止合三去支來	ljweH	lui˨˦	ㄌㄨㄟ꜄	ㄌㄨㄟ꜄
2163	寄	止開三去支見B	kjeH	ki˨˦	ㄐㄧ꜄	ㄐㄧ꜄
2164	臂	止開三去支幫A	pjieH	pi˨˦	ㄅㄧ꜄	ㄅㄧ꜄
2165	芰	止開三去支羣B	gjeH	gi˨˦	ㆢㄧ꜅	ㄐㄧ꜄
2166	刺	止開三去支清	tshjeH	tsʰɨ˨˦	ㄘㄭ꜄	ㄘ꜄
2167	易	止開三去支以	yeH	ji˨˦	ㄧ꜅	ㄧ꜄
2168	議	止開三去支疑B	ngjeH	(ŋ)i˨˦	(ㄫ)ㄧ꜅	(ㄫ)ㄧ꜄
2169	譬	止開三去支滂A	phjieH	pʰi˨˦	ㄆㄧ꜄	ㄆㄧ꜄
2170	漬	止開三去支從	dzjeH	dzɨ˨˦	ㆡㄭ꜅	ㄗ꜄
2171	智	止開三去支知	trjeH	tʃi˨˦	ㄓㄧ꜄	ㄓ꜄
2172	倚	止開三去支影B	’jeH	ʔi˨˦	ㄧ꜄	ㄧ꜄
2173	縋	止合三去支澄	drjweH	ɖʐui˨˦	ㄓㄨㄟ꜅	ㄓㄨㄟ꜄
2174	吹	止合三去支昌	tsyhweH	ʈʂʰui˨˦	ㄔㄨㄟ꜄	ㄔㄨㄟ꜄
2175	戲	止開三去支曉B	xjeH	hi˨˦	ㄒㄧ꜄	ㄒㄧ꜄
2176	企	止開三去支溪A	khjieH	kʰi˨˦	ㄑㄧ꜄	ㄑㄧ꜄
2177	縊	止開三去支影A	’jieH	ʔi˨˦	ㄧ꜄	ㄧ꜄
2178	翅	止開三去支書	syeH	ʃiɨ˨˦	ㄕ꜄	ㄕ꜄
2179	屣	止開三去支生	srjeH	ʂɨ˨˦	ㄕㄭ꜄	ㄕ꜄
2180	觖	止合三去支溪A	khjwieH	kʰui˨˦	ㄎㄨㄟ꜄	ㄎㄨㄟ꜄
2181	餧	止合三去支影B	’jweH	ʔui˨˦	ㄨㄟ꜄	ㄨㄟ꜄
2182	僞	止合三去支疑B	ngjweH	ŋui˨˦	ㄫㄨㄟ꜅	ㄨㄟ꜄
2183	毀	止合三去支曉B	xjweH	hui˨˦	ㄏㄨㄟ꜄	ㄏㄨㄟ꜄
2184	恚	止合三去支影A	’jwieH	ʔui˨˦	ㄨㄟ꜄	ㄨㄟ꜄
2185	睡	止合三去支常	dzyweH	ʂʱui˨˦	ㄕㄨㄟ꜅	ㄕㄨㄟ꜄
2186	馶	止開三去支見A	kjieH	ki˨˦	ㄐㄧ꜄	ㄐㄧ꜄
2187	䄲	止合三去支日	nyweH	ʒui˨˦	ㄖㄨㄟ꜅	ㄖㄨㄟ꜄
2188	卶	止開三去支昌	tsyheH	tʃʰiɨ˨˦	ㄔ꜄	ㄔ꜄
2189	䅗	止合三去支心	sjweH	sui˨˦	ㄙㄨㄟ꜄	ㄙㄨㄟ꜄
2190	娷	止合三去支知	trjweH	ʈʂui˨˦	ㄓㄨㄟ꜄	ㄓㄨㄟ꜄
2191	瓗	止合三去支以	yweH	ui˨˦	ㄨㄟ꜅	ㄨㄟ꜄
2192	諉	止合三去支孃	nrjweH	nui˨˦	ㄋㄨㄟ꜅	ㄋㄨㄟ꜄
2193	瞡	止合三去支見A	kjwieH	kui˨˦	ㄍㄨㄟ꜄	ㄍㄨㄟ꜄
2194	𧙁	止開三去支莊	tsrjeH	ʈʂɨ˨˦	ㄓㄭ꜄	ㄓ꜄
2195	孈	止合三去支曉A	xjwieH	hui˨˦	ㄏㄨㄟ꜄	ㄏㄨㄟ꜄
2196	㞆	止開三去支溪B	khjeH	kʰi˨˦	ㄑㄧ꜄	ㄑㄧ꜄
2197	至	止開三去脂章	tsyijH	tʃiɨ˨˦	ㄓ꜄	ㄓ꜄
2198	位	止合三去脂云	hwijH	ui˨˦	ㄨㄟ꜅	ㄨㄟ꜄
2199	郿	止開三去脂明B	mijH	mi˨˦	ㄇㄧ꜅	ㄇㄧ꜄
2200	遂	止合三去脂邪	zwijH	sʱui˨˦	ㄙㄨㄟ꜅	ㄙㄨㄟ꜄
2201	醉	止合三去脂精	tswijH	tsui˨˦	ㄗㄨㄟ꜄	ㄗㄨㄟ꜄
2202	邃	止合三去脂心	swijH	sui˨˦	ㄙㄨㄟ꜄	ㄙㄨㄟ꜄
2203	類	止合三去脂來	lwijH	lui˨˦	ㄌㄨㄟ꜄	ㄌㄨㄟ꜄
2204	祕	止開三去脂幫B	pijH	pi˨˦	ㄅㄧ꜄	ㄅㄧ꜄
2205	匱	止合三去脂羣B	gwijH	gui˨˦	ㆣㄨㄟ꜅	ㄍㄨㄟ꜄
2206	濞	止開三去脂滂B	phijH	pʰi˨˦	ㄆㄧ꜄	ㄆㄧ꜄
2207	備	止開三去脂並B	bijH	bi˨˦	ㆠㄧ꜅	ㄅㄧ꜄
2208	媿	止合三去脂見B	kwijH	kui˨˦	ㄍㄨㄟ꜄	ㄍㄨㄟ꜄
2209	帥	止合三去脂生	srwijH	ʂui˨˦	ㄕㄨㄟ꜄	ㄕㄨㄟ꜄
2210	喟	止合三去脂溪B	khwijH	kʰui˨˦	ㄎㄨㄟ꜄	ㄎㄨㄟ꜄
2211	豷	止合三去脂曉B	xwijH	hui˨˦	ㄏㄨㄟ꜄	ㄏㄨㄟ꜄
2212	嗜	止開三去脂常	dzyijH	ʃʱiɨ˨˦	ㄕ꜅	ㄕ꜄
2213	利	止開三去脂來	lijH	li˨˦	ㄌㄧ꜄	ㄌㄧ꜄
2214	膩	止開三去脂孃	nrijH	ni˨˦	ㄋㄧ꜅	ㄋㄧ꜄
2215	屁	止開三去脂滂A	phjijH	pʰi˨˦	ㄆㄧ꜄	ㄆㄧ꜄
2216	劓	止開三去脂疑B	ngijH	(ŋ)i˨˦	(ㄫ)ㄧ꜅	(ㄫ)ㄧ꜄
2217	致	止開三去脂知	trijH	tʃi˨˦	ㄓㄧ꜄	ㄓ꜄
2218	棄	止開三去脂溪A	khjijH	kʰi˨˦	ㄑㄧ꜄	ㄑㄧ꜄
2219	緻	止開三去脂澄	drijH	dʒi˨˦	ㄓㄧ꜅	ㄓ꜄
2220	寐	止開三去脂明A	mjijH	mi˨˦	ㄇㄧ꜅	ㄇㄧ꜄
2221	杘	止開三去脂徹	trhijH	tʃʰi˨˦	ㄔㄧ꜄	ㄔ꜄
2222	冀	止開三去脂見B	kijH	ki˨˦	ㄐㄧ꜄	ㄐㄧ꜄
2223	臮	止開三去脂羣B	gijH	gi˨˦	ㆢㄧ꜅	ㄐㄧ꜄
2224	悸	止合三去脂羣A	gjwijH	gui˨˦	ㆣㄨㄟ꜅	ㄍㄨㄟ꜄
2225	翠	止合三去脂清	tshwijH	tsʰui˨˦	ㄘㄨㄟ꜄	ㄘㄨㄟ꜄
2226	二	止開三去脂日	nyijH	ɻ˨˦	ㄦ꜅	ㄦ꜄
2227	恣	止開三去脂精	tsijH	tsɨ˨˦	ㄗㄭ꜄	ㄗ꜄
2228	次	止開三去脂清	tshijH	tsʰɨ˨˦	ㄘㄭ꜄	ㄘ꜄
2229	懿	止開三去脂影B	’ijH	ʔi˨˦	ㄧ꜄	ㄧ꜄
2230	四	止開三去脂心	sijH	sɨ˨˦	ㄙㄭ꜄	ㄙ꜄
2231	器	止開三去脂溪B	khijH	kʰi˨˦	ㄑㄧ꜄	ㄑㄧ꜄
2232	季	止合三去脂見A	kjwijH	ki˨˦(!)	ㄐㄧ꜄	ㄐㄧ꜄
2233	鼻	止開三去脂並A	bjijH	bi˨˦	ㆠㄧ꜅	ㄅㄧ꜄
2234	䁤	止合三去脂曉A	xjwijH	hui˨˦	ㄏㄨㄟ꜄	ㄏㄨㄟ꜄
2235	痹	止開三去脂幫A	pjijH	pi˨˦	ㄅㄧ꜄	ㄅㄧ꜄
2236	萃	止合三去脂從	dzwijH	dzui˨˦	ㆡㄨㄟ꜅	ㄗㄨㄟ꜄
2237	地	止開三去脂定	dijH	di˨˦	ㄉㄧ꜅	ㄉㄧ꜄
2238	齂	止開三去脂曉B	xijH	hi˨˦	ㄒㄧ꜄	ㄒㄧ꜄
2239	肄	止開三去脂以	yijH	ji˨˦	ㄧ꜅	ㄧ꜄
2240	示	止開三去脂船	zyijH	ʃʱiɨ˨˦	ㄕ꜅	ㄕ꜄
2241	自	止開三去脂從	dzijH	dzɨ˨˦	ㆡㄭ꜅	ㄗ꜄
2242	墜	止合三去脂澄	drwijH	ɖʐui˨˦	ㄓㄨㄟ꜅	ㄓㄨㄟ꜄
2243	出	止合三去脂昌	tsyhwijH	ʈʂʰui˨˦	ㄔㄨㄟ꜄	ㄔㄨㄟ꜄
2244	遺	止合三去脂以	ywijH	ui˨˦	ㄨㄟ꜅	ㄨㄟ꜄
2245	侐	止合三去脂曉A	xjwijH	hui˨˦	ㄏㄨㄟ꜄	ㄏㄨㄟ꜄
2246	轛	止合三去脂知	trwijH	ʈʂui˨˦	ㄓㄨㄟ꜄	ㄓㄨㄟ꜄
2247	痓	止開三去脂昌	tsyhijH	tʃʰiɨ˨˦	ㄔ꜄	ㄔ꜄
2248	屍	止開三去脂書	syijH	ʃiɨ˨˦	ㄕ꜄	ㄕ꜄
2249	㿷	止合三去脂初	tsrhwijH	ʈʂʰui˨˦	ㄔㄨㄟ꜄	ㄔㄨㄟ꜄
2250	㽷	止合三去脂書	sywijH	ʂui˨˦	ㄕㄨㄟ꜄	ㄕㄨㄟ꜄
2251	志	止開三去之章	tsyiH	tʃiɨ˨˦	ㄓ꜄	ㄓ꜄
2252	值	止開三去之澄	driH	dʒi˨˦	ㄓㄧ꜅	ㄓ꜄
2253	寺	止開三去之邪	ziH	sʱɨ˨˦	ㄙㄭ꜅	ㄙ꜄
2254	蛓	止開三去之清	tshiH	tsʰɨ˨˦	ㄘㄭ꜄	ㄘ꜄
2255	笥	止開三去之心	siH	sɨ˨˦	ㄙㄭ꜄	ㄙ꜄
2256	試	止開三去之書	syiH	ʃiɨ˨˦	ㄕ꜄	ㄕ꜄
2257	胾	止開三去之莊	tsriH	ʈʂɨ˨˦	ㄓㄭ꜄	ㄓ꜄
2258	吏	止開三去之來	liH	li˨˦	ㄌㄧ꜄	ㄌㄧ꜄
2259	字	止開三去之從	dziH	dzɨ˨˦	ㆡㄭ꜅	ㄗ꜄
2260	眙	止開三去之徹	trhiH	tʃʰi˨˦	ㄔㄧ꜄	ㄔ꜄
2261	餌	止開三去之日	nyiH	ɻ˨˦	ㄦ꜅	ㄦ꜄
2262	駛	止開三去之生	sriH	ʂɨ˨˦	ㄕㄭ꜄	ㄕ꜄
2263	廁	止開三去之初	tsrhiH	ʈʂʰɨ˨˦	ㄔㄭ꜄	ㄔ꜄
2264	異	止開三去之以	yiH	ji˨˦	ㄧ꜅	ㄧ꜄
2265	置	止開三去之知	triH	tʃi˨˦	ㄓㄧ꜄	ㄓ꜄
2266	侍	止開三去之常	dzyiH	ʃʱiɨ˨˦	ㄕ꜅	ㄕ꜄
2267	事	止開三去之崇	dzriH	ʂʱɨ˨˦	ㄕㄭ꜅	ㄕ꜄
2268	忌	止開三去之羣	giH	gi˨˦	ㆢㄧ꜅	ㄐㄧ꜄
2269	熾	止開三去之昌	tsyhiH	tʃʰiɨ˨˦	ㄔ꜄	ㄔ꜄
2270	意	止開三去之影	’iH	ʔi˨˦	ㄧ꜄	ㄧ꜄
2271	記	止開三去之見	kiH	ki˨˦	ㄐㄧ꜄	ㄐㄧ꜄
2272	憙	止開三去之曉	xiH	hi˨˦	ㄒㄧ꜄	ㄒㄧ꜄
2273	䰯	止開三去之疑	ngiH	(ŋ)i˨˦	(ㄫ)ㄧ꜅	(ㄫ)ㄧ꜄
2274	亟	止開三去之溪	khiH	kʰi˨˦	ㄑㄧ꜄	ㄑㄧ꜄
2275	未	止合三去微明	mj+jH	vi˨˦	ㄪㄧ꜅	ㄪㄟ꜄
2276	貴	止合三去微見	kjw+jH	kui˨˦	ㄍㄨㄟ꜄	ㄍㄨㄟ꜄
2277	胃	止合三去微云	hjw+jH	ui˨˦	ㄨㄟ꜅	ㄨㄟ꜄
2278	魏	止合三去微疑	ngjw+jH	ŋui˨˦	ㄫㄨㄟ꜅	ㄨㄟ꜄
2279	沸	止合三去微幫	pj+jH	fi˨˦	ㄈㄧ꜄	ㄈㄟ꜄
2280	費	止合三去微滂	phj+jH	fi˨˦	ㄈㄧ꜄	ㄈㄟ꜄
2281	𥽂	止合三去微溪	khjw+jH	kʰui˨˦	ㄎㄨㄟ꜄	ㄎㄨㄟ꜄
2282	尉	止合三去微影	’jw+jH	ʔui˨˦	ㄨㄟ꜄	ㄨㄟ꜄
2283	諱	止合三去微曉	xjw+jH	hui˨˦	ㄏㄨㄟ꜄	ㄏㄨㄟ꜄
2284	𥝋	止合三去微並	bj+jH	fʱi˨˦	ㄈㄧ꜅	ㄈㄟ꜄
2285	旣	止開三去微見	kj+jH	ki˨˦	ㄐㄧ꜄	ㄐㄧ꜄
2286	毅	止開三去微疑	ngj+jH	(ŋ)i˨˦	(ㄫ)ㄧ꜅	(ㄫ)ㄧ꜄
2287	氣	止開三去微溪	khj+jH	kʰi˨˦	ㄑㄧ꜄	ㄑㄧ꜄
2288	欷	止開三去微曉	xj+jH	hi˨˦	ㄒㄧ꜄	ㄒㄧ꜄
2289	䤒	止開三去微羣	gj+jH	gi˨˦	ㆢㄧ꜅	ㄐㄧ꜄
2290	衣	止開三去微影	’j+jH	ʔi˨˦	ㄧ꜄	ㄧ꜄
2291	御	遇開三去魚疑	ngjoH	(ŋ)y˨˦	(ㄫ)ㄩ꜅	(ㄫ)ㄩ꜄
2292	慮	遇開三去魚來	ljoH	ly˨˦	ㄌㄩ꜄	ㄌㄩ꜄
2293	據	遇開三去魚見	kjoH	ky˨˦	ㄐㄩ꜄	ㄐㄩ꜄
2294	覰	遇開三去魚清	tshjoH	tsʰy˨˦	ㄘㄩ꜄	ㄘㄩ꜄
2295	㰦	遇開三去魚溪	khjoH	kʰy˨˦	ㄑㄩ꜄	ㄑㄩ꜄
2296	署	遇開三去魚常	dzyoH	ʃʱy˨˦	ㄕㄩ꜅	ㄕㄨ꜄
2297	恕	遇開三去魚書	syoH	ʃy˨˦	ㄕㄩ꜄	ㄕㄨ꜄
2298	著	遇開三去魚知	trjoH	tʃy˨˦	ㄓㄩ꜄	ㄓㄨ꜄
2299	䬡	遇開三去魚章	tsyoH	tʃy˨˦	ㄓㄩ꜄	ㄓㄨ꜄
2300	䟽	遇開三去魚生	srjoH	ʂu˨˦	ㄕㄨ꜄	ㄕㄨ꜄
2301	飫	遇開三去魚影	’joH	ʔy˨˦	ㄩ꜄	ㄩ꜄
2302	箸	遇開三去魚澄	drjoH	dʒy˨˦	ㄓㄩ꜅	ㄓㄨ꜄
2303	遽	遇開三去魚羣	gjoH	gy˨˦	ㆢㄩ꜅	ㄐㄩ꜄
2304	絮	遇開三去魚心	sjoH	sy˨˦	ㄙㄩ꜄	ㄙㄩ꜄
2305	助	遇開三去魚崇	dzrjoH	ɖʐu˨˦	ㄓㄨ꜅	ㄓㄨ꜄
2306	怚	遇開三去魚精	tsjoH	tsy˨˦	ㄗㄩ꜄	ㄗㄩ꜄
2307	詛	遇開三去魚莊	tsrjoH	ʈʂu˨˦	ㄓㄨ꜄	ㄓㄨ꜄
2308	洳	遇開三去魚日	nyoH	ʒy˨˦	ㄖㄩ꜅	ㄖㄨ꜄
2309	豫	遇開三去魚以	yoH	jy˨˦	ㄩ꜅	ㄩ꜄
2310	噓	遇開三去魚曉	xjoH	hy˨˦	ㄒㄩ꜄	ㄒㄩ꜄
2311	女	遇開三去魚孃	nrjoH	ny˨˦	ㄋㄩ꜅	ㄋㄩ꜄
2312	楚	遇開三去魚初	tsrhjoH	ʈʂʰu˨˦	ㄔㄨ꜄	ㄔㄨ꜄
2313	處	遇開三去魚昌	tsyhoH	tʃʰy˨˦	ㄔㄩ꜄	ㄔㄨ꜄
2314	絮	遇開三去魚徹	trhjoH	tʃʰy˨˦	ㄔㄩ꜄	ㄔㄨ꜄
2315	𡲁	遇開三去魚邪	zjoH	sʱy˨˦	ㄙㄩ꜅	ㄙㄩ꜄
2316	遇	遇合三去虞疑	ngjuH	(ŋ)y˨˦	(ㄫ)ㄩ꜅	(ㄫ)ㄩ꜄
2317	嫗	遇合三去虞影	’juH	ʔy˨˦	ㄩ꜄	ㄩ꜄
2318	樹	遇合三去虞常	dzyuH	ʃʱy˨˦	ㄕㄩ꜅	ㄕㄨ꜄
2319	住	遇合三去虞澄	drjuH	dʒy˨˦	ㄓㄩ꜅	ㄓㄨ꜄
2320	附	遇合三去虞並	bjuH	fʱu˨˦	ㄈㄨ꜅	ㄈㄨ꜄
2321	注	遇合三去虞章	tsyuH	tʃy˨˦	ㄓㄩ꜄	ㄓㄨ꜄
2322	屨	遇合三去虞見	kjuH	ky˨˦	ㄐㄩ꜄	ㄐㄩ꜄
2323	昫	遇合三去虞曉	xjuH	hy˨˦	ㄒㄩ꜄	ㄒㄩ꜄
2324	戍	遇合三去虞書	syuH	ʃy˨˦	ㄕㄩ꜄	ㄕㄨ꜄
2325	裕	遇合三去虞以	yuH	jy˨˦	ㄩ꜅	ㄩ꜄
2326	孺	遇合三去虞日	nyuH	ʒy˨˦	ㄖㄩ꜅	ㄖㄨ꜄
2327	赴	遇合三去虞滂	phjuH	fu˨˦	ㄈㄨ꜄	ㄈㄨ꜄
2328	務	遇合三去虞明	mjuH	vu˨˦	ㄪㄨ꜅	ㄪㄨ꜄
2329	緅	遇合三去虞精	tsjuH	tsy˨˦	ㄗㄩ꜄	ㄗㄩ꜄
2330	懼	遇合三去虞羣	gjuH	gy˨˦	ㆢㄩ꜅	ㄐㄩ꜄
2331	芋	遇合三去虞云	hjuH	jy˨˦	ㄩ꜅	ㄩ꜄
2332	埾	遇合三去虞從	dzjuH	dzy˨˦	ㆡㄩ꜅	ㄗㄩ꜄
2333	捒	遇合三去虞生	srjuH	ʂu˨˦	ㄕㄨ꜄	ㄕㄨ꜄
2334	付	遇合三去虞幫	pjuH	fu˨˦	ㄈㄨ꜄	ㄈㄨ꜄
2335	娶	遇合三去虞清	tshjuH	tsʰy˨˦	ㄘㄩ꜄	ㄘㄩ꜄
2336	註	遇合三去虞知	trjuH	tʃy˨˦	ㄓㄩ꜄	ㄓㄨ꜄
2337	驅	遇合三去虞溪	khjuH	kʰy˨˦	ㄑㄩ꜄	ㄑㄩ꜄
2338	菆	遇合三去虞初	tsrhjuH	ʈʂʰu˨˦	ㄔㄨ꜄	ㄔㄨ꜄
2339	𨳳	遇合三去虞徹	trhjuH	tʃʰy˨˦	ㄔㄩ꜄	ㄔㄨ꜄
2340	尠	遇合三去虞心	sjuH	sy˨˦	ㄙㄩ꜄	ㄙㄩ꜄
2341	屢	遇合三去虞來	ljuH	ly˨˦	ㄌㄩ꜄	ㄌㄩ꜄
2342	暮	遇開一去模明	muH	mu˨˦	ㄇㄨ꜅	ㄇㄨ꜄
2343	渡	遇開一去模定	duH	du˨˦	ㄉㄨ꜅	ㄉㄨ꜄
2344	路	遇開一去模來	luH	lu˨˦	ㄌㄨ꜄	ㄌㄨ꜄
2345	妒	遇開一去模端	tuH	tu˨˦	ㄉㄨ꜄	ㄉㄨ꜄
2346	菟	遇開一去模透	thuH	tʰu˨˦	ㄊㄨ꜄	ㄊㄨ꜄
2347	顧	遇開一去模見	kuH	ku˨˦	ㄍㄨ꜄	ㄍㄨ꜄
2348	誤	遇開一去模疑	nguH	ŋu˨˦	ㄫㄨ꜅	ㄨ꜄
2349	護	遇開一去模匣	huH	ɦu˨˦	ㄏㄨ꜅	ㄏㄨ꜄
2350	訴	遇開一去模心	suH	su˨˦	ㄙㄨ꜄	ㄙㄨ꜄
2351	祚	遇開一去模從	dzuH	dzu˨˦	ㆡㄨ꜅	ㄗㄨ꜄
2352	笯	遇開一去模泥	nuH	nu˨˦	ㄋㄨ꜅	ㄋㄨ꜄
2353	布	遇開一去模幫	puH	pu˨˦	ㄅㄨ꜄	ㄅㄨ꜄
2354	汙	遇開一去模影	’uH	ʔu˨˦	ㄨ꜄	ㄨ꜄
2355	怖	遇開一去模滂	phuH	pʰu˨˦	ㄆㄨ꜄	ㄆㄨ꜄
2356	厝	遇開一去模清	tshuH	tsʰu˨˦	ㄘㄨ꜄	ㄘㄨ꜄
2357	絝	遇開一去模溪	khuH	kʰu˨˦	ㄎㄨ꜄	ㄎㄨ꜄
2358	捕	遇開一去模並	buH	bu˨˦	ㆠㄨ꜅	ㄅㄨ꜄
2359	謼	遇開一去模曉	xuH	hu˨˦	ㄏㄨ꜄	ㄏㄨ꜄
2360	作	遇開一去模精	tsuH	tsu˨˦	ㄗㄨ꜄	ㄗㄨ꜄
2361	霽	蟹開四去齊精	tsejH	tsiɪi˨˦	ㄗㄧ꜄	ㄗㄧ꜄
2362	帝	蟹開四去齊端	tejH	tiɪi˨˦	ㄉㄧ꜄	ㄉㄧ꜄
2363	嚌	蟹開四去齊從	dzejH	dziɪi˨˦	ㆡㄧ꜅	ㄗㄧ꜄
2364	替	蟹開四去齊透	thejH	tʰiɪi˨˦	ㄊㄧ꜄	ㄊㄧ꜄
2365	第	蟹開四去齊定	dejH	diɪi˨˦	ㄉㄧ꜅	ㄉㄧ꜄
2366	砌	蟹開四去齊清	tshejH	tsʰiɪi˨˦	ㄘㄧ꜄	ㄘㄧ꜄
2367	細	蟹開四去齊心	sejH	siɪi˨˦	ㄙㄧ꜄	ㄙㄧ꜄
2368	詣	蟹開四去齊疑	ngejH	ŋiɪi˨˦/ji˨˦	ㄫㄧ꜅/ㄧ꜅	ㄬㄧ꜄/ㄧ꜄
2369	計	蟹開四去齊見	kejH	kiɪi˨˦	ㄐㄧ꜄	ㄐㄧ꜄
2370	蒵	蟹開四去齊匣	hejH	ɦiɪi˨˦	ㄒㄧ꜅	ㄒㄧ꜄
2371	契	蟹開四去齊溪	khejH	kʰiɪi˨˦	ㄑㄧ꜄	ㄑㄧ꜄
2372	翳	蟹開四去齊影	’ejH	ʔiɪi˨˦	ㄧ꜄	ㄧ꜄
2373	謎	蟹開四去齊明	mejH	miɪi˨˦	ㄇㄧ꜅	ㄇㄧ꜄
2374	閉	蟹開四去齊幫	pejH	piɪi˨˦	ㄅㄧ꜄	ㄅㄧ꜄
2375	慧	蟹合四去齊匣	hwejH	ɦui˨˦	ㄏㄨㄟ꜅	ㄏㄨㄟ꜄
2376	桂	蟹合四去齊見	kwejH	kui˨˦	ㄍㄨㄟ꜄	ㄍㄨㄟ꜄
2377	嘒	蟹合四去齊曉	xwejH	hui˨˦	ㄏㄨㄟ꜄	ㄏㄨㄟ꜄
2378	媲	蟹開四去齊滂	phejH	pʰiɪi˨˦	ㄆㄧ꜄	ㄆㄧ꜄
2379	薜	蟹開四去齊並	bejH	biɪi˨˦	ㆠㄧ꜅	ㄅㄧ꜄
2380	麗	蟹開四去齊來	lejH	liɪi˨˦	ㄌㄧ꜄	ㄌㄧ꜄
2381	𥱻	蟹開四去齊徹	trhejH	tʃʰiɪi˨˦	ㄔㄧ꜄	ㄔ꜄
2382	泥	蟹開四去齊泥	nejH	niɪi˨˦	ㄋㄧ꜅	ㄋㄧ꜄
2383	㰥	蟹開四去齊曉	xejH	hiɪi˨˦	ㄒㄧ꜄	ㄒㄧ꜄
2384	祭	蟹開三去祭精	tsjejH	tsiɪi˨˦	ㄗㄧ꜄	ㄗㄧ꜄
2385	歲	蟹合三去祭心	sjwejH	sui˨˦	ㄙㄨㄟ꜄	ㄙㄨㄟ꜄
2386	衞	蟹合三去祭云	hjwejH	ui˨˦	ㄨㄟ꜅	ㄨㄟ꜄
2387	芮	蟹合三去祭日	nywejH	ʒui˨˦	ㄖㄨㄟ꜅	ㄖㄨㄟ꜄
2388	贅	蟹合三去祭章	tsywejH	ʈʂui˨˦	ㄓㄨㄟ꜄	ㄓㄨㄟ꜄
2389	𠻜	蟹合三去祭生	srjwejH	ʂwai˨˦	ㄕㄨㄞ꜄	ㄕㄨㄞ꜄
2390	毳	蟹合三去祭清	tshjwejH	tsʰui˨˦	ㄘㄨㄟ꜄	ㄘㄨㄟ꜄
2391	銳	蟹合三去祭以	ywejH	ui˨˦	ㄨㄟ꜅	ㄨㄟ꜄
2392	綴	蟹合三去祭知	trjwejH	ʈʂui˨˦	ㄓㄨㄟ꜄	ㄓㄨㄟ꜄
2393	稅	蟹合三去祭書	sywejH	ʂui˨˦	ㄕㄨㄟ꜄	ㄕㄨㄟ꜄
2394	𡚁	蟹開三去祭並A	bjiejH	biɪi˨˦	ㆠㄧ꜅	ㄅㄧ꜄
2395	㯔	蟹合三去祭初	tsrhjwejH	ʈʂʰwai˨˦	ㄔㄨㄞ꜄	ㄔㄨㄞ꜄
2396	篲	蟹合三去祭邪	zjwejH	sʱui˨˦	ㄙㄨㄟ꜅	ㄙㄨㄟ꜄
2397	蔽	蟹開三去祭幫A	pjiejH	piɪi˨˦	ㄅㄧ꜄	ㄅㄧ꜄
2398	劌	蟹合三去祭見B	kjwejH	kui˨˦	ㄍㄨㄟ꜄	ㄍㄨㄟ꜄
2399	袂	蟹開三去祭明A	mjiejH	miɪi˨˦	ㄇㄧ꜅	ㄇㄧ꜄
2400	㡜	蟹開三去祭生	srjejH	ʂiɪi˨˦	ㄕㄧ꜄	ㄕ꜄
2401	掣	蟹開三去祭昌	tsyhejH	tʃʰiɪi˨˦	ㄔㄧ꜄	ㄔ꜄
2402	制	蟹開三去祭章	tsyejH	tʃiɪi˨˦	ㄓㄧ꜄	ㄓ꜄
2403	逝	蟹開三去祭常	dzyejH	ʃʱiɪi˨˦	ㄕㄧ꜅	ㄕ꜄
2404	曵	蟹開三去祭以	yejH	jiɪi˨˦	ㄧ꜅	ㄧ꜄
2405	䋵	蟹開三去祭影B	’jejH	ʔiɪi˨˦	ㄧ꜄	ㄧ꜄
2406	藝	蟹開三去祭疑A	ngjiejH	ji˨˦/ŋiɪi˨˦	ㄧ꜅/ㄫㄧ꜅	ㄧ꜄
2407	滯	蟹開三去祭澄	drjejH	dʒiɪi˨˦	ㄓㄧ꜅	ㄓ꜄
2408	例	蟹開三去祭來	ljejH	liɪi˨˦	ㄌㄧ꜄	ㄌㄧ꜄
2409	憩	蟹開三去祭溪B	khjejH	kʰiɪi˨˦	ㄑㄧ꜄	ㄑㄧ꜄
2410	丗	蟹開三去祭書	syejH	ʃiɪi˨˦	ㄕㄧ꜄	ㄕ꜄
2411	猘	蟹開三去祭見B	kjejH	kiɪi˨˦	ㄐㄧ꜄	ㄐㄧ꜄
2412	㿃	蟹開三去祭知	trjejH	tʃiɪi˨˦	ㄓㄧ꜄	ㄓ꜄
