IPA	正韻卷番	正韻小韻分隔	正韻字頭	正韻反切	ytenx小韻番	正韻牋字頭(ytenx)	正韻牋反切(ytenx)
kɦȕi	2	○	葵	渠爲切	166	葵	渠爲切
tsui	2	○	嗺	遵綏切	167	嗺	遵綏切
pɦȕi	2	○	裴	蒲枚切	168	裴	蒲枚切
ʂui	2	○	衰	所追切	169	衰	所追切
ʒȕi	2	○	痿	儒隹切	170	痿	儒隹切
tsui	2	○	厜	津垂切	171	厜	津垂切
ʃʒȕi	2	○	誰	視隹切	172	誰	視隹切
hui	2	○	睢	翾圭切	173	睢	翾圭切
tʃhui	2	○	吹	昌垂切	174	吹	昌垂切
tsɦȕi	2	○	摧	徂回切	175	摧	徂回切
tʃin	3	¶八真¶¶	眞	之人切	176	眞	之人切
ʃin	3	○	申	升人切	177	申	升人切
tʃhin	3	○	瞋	稱人切	178	瞋	稱人切
ʃʒȉn	3	○	辰	丞眞切	179	辰	丞真切
ʒȉn	3	○	人	而鄰切	180	人	而鄰切
sin	3	○	辛	斯鄰切	181	辛	斯鄰切
tshin	3	○	親	七人切	182	親	七人切
tsin	3	○	津	資辛切	183	津	資辛切
tsɦȉn	3	○	秦	慈鄰切	184	秦	慈鄰切
phin	3	○	繽	紕民切	185	繽	紕民切
pin	3	○	賔	卑民切	186	賔	卑民切
pɦȉn	3	○	頻	毗賔切	187	頻	毗賓切
mȉn	3	○	民	彌鄰切	188	民	彌鄰切
tʃɦȉn	3	○	陳	池鄰切	189	陳	池鄰切
lȉn	3	○	鄰	離珍切	190	鄰	龍珍切
ʔin	3	○	因	伊眞切	191	因	伊真切
ʔyun	3	○	氲	紆倫切	192	氳	紆倫切
nȉn	3	○	紉	尼鄰切	193	紉	尼鄰切
jyȕn	3	○	雲	于分切	194	雲	于分切
kyun	3	○	鈞	規倫切	195	鈞	規倫切
kin	3	○	巾	居銀切	196	巾	居銀切
kɦȉn	3	○	勤	渠巾切	197	勤	渠巾切
(ŋ)jȉn	3	○	銀	魚巾切	198	銀	魚巾切
khyun	3	○	囷	區倫切	199	囷	區倫切
hyun	3	○	熏	許云切	200	熏	許云切
kɦyȕn	3		羣	渠云切	201	羣	渠云切
hin	3	○	欣	許斤切	202	欣	許斤切
tʃyun	3	○	諄	朱倫切	203	諄	朱倫切
tʃhyun	3	○	春	樞倫切	204	春	樞倫切
ʃʒyȕn	3	○	純	殊倫切	205	純	殊倫切
syun	3	○	荀	須倫切	206	荀	須倫切
tshyun	3	○	逡	七倫切	207	逡	七倫切
tsɦȕn	3	○	存	徂尊切	208	存	徂尊切
szyȕn	3	○	旬	詳倫切	209	旬	辭倫切
lyȕn	3	○	倫	龍春切	210	倫	龍春切
vȕn	3	○	文	無分切	211	文	無分切
fun	3	○	芬	敷文切	212	芬	敷文切
fvȕn	3	○	汾	符分切	213	汾	符分切
ɦȕn	3	○	䰟	胡昆切	214	䰟	胡昆切
kun	3	○	昆	公渾切	215	昆	公渾切
ʔun	3	○	溫	烏昆切	216	溫	烏昆切
hun	3	○	昏	呼昆切	217	昏	呼昆切
khun	3	○	坤	枯昆切	218	坤	枯昆切
pun	3	○	奔	逋昆切	219	奔	逋昆切
phun	3	○	歕	鋪䰟切	220	歕	浦魂切
pɦȕn	3	○	盆	蒲奔切	221	盆	蒲奔切
mȕn	3	○	門	謨奔切	222	門	謨奔切
sun	3	○	孫	蘇昆切	223	孫	蘇昆切
tshun	3	○	村	倉尊切	224	村	倉尊切
tsun	3	○	尊	租昆切	225	尊	租昆切
thun	3	○	暾	他昆切	226	暾	他昆切
tɦȕn	3	○	屯	徒孫切	227	屯	徒孫切
lȕn	3	○	論	盧昆切	228	論	盧昆切
tun	3	○	敦	都昆切	229	敦	都昆切
tʂən	3	○	臻	側詵切	230	臻	側詵切
ʂən	3	○	莘	疏臻切	231	莘	疏臻切
ʈʂɦə̏n	3	○	榛	鉏臻切	232	榛	鉏臻切
ɦə̏n	3	○	痕	胡恩切	233	痕	胡恩切
kən	3	○	根	古痕切	234	根	古痕切
ʔən	3	○	恩	烏痕切	235	恩	烏痕切
ŋə̏n	3	○	垠	五根切	236	垠	五根切
ɦɔ̏n	3	九寒¶¶	寒	河干切	237	寒	河干切
ŋɔ̏n	3		豻	俄寒切	238	豻	俄寒切
khɔn	3	○	看	丘寒切	239	看	丘寒切
kɔn	3	○	干	居寒切	240	干	居寒切
ʔɔn	3	○	安	於寒切	241	安	於寒切
hwɔn	3	○	歡	呼官切	242	歡	呼官切
khwɔn	3	○	寬	枯官切	243	寬	枯官切
kwɔn	3	○	官	沽歡切	244	官	沽歡切
ʔwɔn	3	○	剜	爲歡切	245	剜	烏歡切
ŋwɔ̏n	3	○	岏	吾官切	246	岏	吾官切
phwɔn	3	○	潘	鋪官切	247	潘	鋪官切
pwɔn	3	○	般	逋潘切	248	般	逋潘切
pɦwɔ̏n	3	○	槃	蒲官切	249	槃	蒲官切
pɦwɔ̏n	3	○	般	NA	249	般	NA
mwɔ̏n	3	○	瞞	謨官切	250	瞞	謨官切
swɔn	3	○	酸	蘇官切	251	酸	蘇官切
tswɔn	3	○	鑽	祖官切	252	鑽	祖官切
tsɦwɔ̏n	3	○	欑	徂官切	253	欑	徂官切
twɔn	3	○	端	多官切	254	端	多官切
thwɔn	3	○	湍	他官切	255	湍	他官切
tɦwɔ̏n	3	○	團	徒官切	256	團	徒官切
lwɔ̏n	3	○	鸞	盧官切	257	鸞	盧官切
ɦwɔ̏n	3	○	桓	胡官切	258	桓	胡官切
hɔn	3	○	暵	許干切	259	暵	許干切
ʂan	3	十刪¶¶	刪	師姦切	260	刪	師姦切
swan	3	○	散	相關切	261	散	相關切
kwan	3	○	關	姑還切	262	關	姑還切
ʔwan	3	○	彎	烏還切	263	彎	烏還切
ɦwȁn	3	○	還	胡關切	264	還	胡關切
tʂwan	3	○	跧	阻頑切	265	跧	阻頑切
kian	3	○	姦	居顔切	266	姦	居顔切
kian	3	○	菅	NA	266	菅	NA
(ŋ)jiȁn	3	○	顏	牛姦切	267	顏	牛姦切
ŋwȁn	3	○	頑	五還切	268	頑	五還切
pan	3	○	班	逋還切	269	班	逋還切
pan	3	○	斒	逋閑切	270	斒	逋閑切
(ŋ)jiȁn	3	○	虤	五閑切	271	虤	五閑切
phan	3	○	攀	披班切	272	攀	披班切
mȁn	3	○	蠻	謨還切	273	蠻	謨還切
ʈʂɦȁn	3	○	潺	鉏山切	274	潺	鉏山切
tshan	3	○	餐	千山切	275	餐	千山切
lȁn	3	○	斕	離閑切	276	斕	離閑切
lɔ̏n	3		闌	郎干切	276_no_siewx_ghiunh_separator	闌	郎干切
ɦiȁn	3	○	閑	何艱切	277	閑	何艱切
pɦȁn	3	○	瓣	蒲閑切	278	瓣	蒲閑切
khian	3	○	慳	丘閑切	279	慳	丘閑切
ʔian	3	○	黫	烏閑切	280	黫	烏閑切
fan	3	○	翻	孚艱切	281	翻	孚艱切
fvȁn	3	○	煩	符艱切	282	煩	符艱切
tsɦȁn	3	○	殘	財艱切	283	殘	財艱切
tan	3	○	單	都艱切	284	單	都艱切
than	3	○	灘	他丹切	285	灘	他丹切
tɦȁn	3	○	壇	唐闌切	286	壇	唐闌切
hwan	3	○	儇	呼關切	287	儇	呼關切
nȁn	3	○	難	那壇切	288	難	那壇切
ʂwan	3	○	𣠯	數還切	289	𣟴	數還切
siɛn	4	¶十一先¶¶	先	蘇前切	290	先	蘇前切
thiɛn	4		天	他前切	291	天	他前切
tshiɛn	4		千	倉先切	292	千	倉先切
tsiɛn	4	○	箋	則前切	293	箋	則前切
tsɦiɛ̏n	4	○	前	才先切	294	前	才先切
piɛn	4	○	邊	卑眠切	295	邊	卑眠切
phiɛn	4	○	篇	紕連切	296	篇	紕連切
miɛ̏n	4	○	眠	莫堅切	297	眠	莫堅切
tiɛn	4	○	顚	多年切	298	顚	多年切
tɦiɛ̏n	4	○	田	亭年切	299	田	亭年切
niɛ̏n	4	○	年	寧田切	300	年	寧田切
liɛ̏n	4	○	蓮	靈年切	301	蓮	靈年切
kiɛn	4	○	堅	經天切	302	堅	經天切
khiɛn	4	○	牽	苦堅切	303	牽	苦堅切
ɦiɛ̏n	4	○	賢	胡田切	304	賢	胡田切
jiɛ̏n	4	○	延	夷然切	305	延	夷然切
ʔiɛn	4	○	煙	因肩切	306	煙	因肩切
kyuɛn	4	○	涓	圭淵切	307	涓	圭淵切
tʃɦyuɛ̏n	4	○	椽	重圓切	308	椽	重圓切
ɦyuɛ̏n	4	○	玄	胡涓切	309	玄	胡涓切
lyuɛ̏n	4	○	攣	閭圓切	310	攣	閭圓切
ʔyuɛn	4	○	淵	縈圓切	311	淵	縈圓切
ʒiɛ̏n	4	○	然	如延切	312	然	如延切
sziɛ̏n	4	○	涎	徐延切	313	涎	徐延切
ʃiɛn	4	○	羶	尸連切	314	羶	尸連切
ʃʒiɛ̏n	4	○	鋋	時連切	315	鋋	時連切
tʃiɛn	4	○	饘	諸延切	316	饘	諸延切
tʃɦiɛ̏n	4	○	蟬	呈延切	317	蟬	呈延切
ʈʂɦȁn	4	○	潺	鋤連切	318	潺	鋤連切
tʃhiɛn	4	○	梴	抽延切	319	梴	抽延切
hiɛn	4	○	軒	虛延切	320	軒	虛延切
kɦiɛ̏n	4	○	乾	渠焉切	321	乾	渠焉切
pɦiɛ̏n	4	○	緶	蒲眠切	322	緶	蒲眠切
syuɛn	4	○	宣	息縁切	323	宣	息緣切
tshyuɛn	4	○	詮	且緣切	324	詮	且緣切
tsyuɛn	4	○	鐫	子全切	325	鐫	子全切
szyuɛ̏n	4	○	旋	旬緣切	326	旋	旬緣切
tsɦyuɛ̏n	4	○	全	才緣切	327	全	才緣切
tʃhyuɛn	4	○	穿	昌緣切	328	穿	昌緣切
tʃyuɛn	4	○	專	朱緣切	329	專	朱緣切
ʒyuɛ̏n	4	○	𤲬	而宣切	330	𤲬	而宣切
hyuɛn	4	○	暄	呼淵切	331	暄	呼淵切
jyuɛ̏n	4	○	員	于權切	332	員	于權切
jyuɛ̏n	4	○	元	NA	332	元	NA
khyuɛn	4	○	圈	驅圓切	333	圈	驅圓切
kɦyuɛ̏n	4	○	權	逵員切	334	權	逵員切
siɛw	4	十二蕭¶¶	蕭	先彫切	335	蕭	先彫切
tiɛw	4	○	貂	丁聊切	336	貂	丁聊切
thiɛw	4	○	祧	他彫切	337	祧	他彫切
tɦiɛ̏w	4	○	迢	田聊切	338	迢	田聊切
liɛ̏w	4	○	聊	連條切	339	聊	連條切
kiɛw	4	○	驍	堅堯切	340	驍	堅堯切
ʔiɛw	4	○	幺	伊堯切	341	幺	伊堯切
khiɛw	4	○	橇	丘妖切	342	橇	丘妖切
tshiɛw	4	○	篍	此遥切	343	篍	此遙切
tsiɛw	4	○	焦	玆消切	344	焦	兹消切
tsɦiɛ̏w	4	○	樵	慈消切	345	樵	慈消切
piɛw	4	○	猋	卑遥切	346	猋	卑遙切
phiɛw	4	○	漂	紕招切	347	漂	紕招切
pɦiɛ̏w	4	○	瓢	毗招切	348	瓢	毗招切
miɛ̏w	4	○	苗	眉鑣切	349	苗	眉鑣切
ʃiɛw	4	○	燒	尸昭切	350	燒	尸昭切
tʃhiɛw	4	○	弨	蚩招切	351	弨	蚩招切
tʃiɛw	4	○	昭	之遙切	352	昭	之遙切
ʃʒiɛ̏w	4	○	韶	時昭切	353	韶	時招切
ʒiɛ̏w	4	○	饒	如招切	354	饒	如招切
tʃɦiɛ̏w	4	○	潮	馳遙切	355	潮	馳遙切
jiɛ̏w	4	○	堯	餘招切	356	堯	餘招切
kɦiɛ̏w	4	○	橋	祁堯切	357	橋	祁堯切
hiɛw	4	○	鴞	吁驕切	358	鴞	吁驕切
ɦiȁw	4	十三爻¶¶	爻	何交切	359	爻	何交切
kiaw	4	○	交	居肴切	360	交	居肴切
khiaw	4	○	敲	丘交切	361	敲	丘交切
hiaw	4	○	哮	虚交切	362	哮	虛交切
ʔiaw	4	○	坳	於交切	363	坳	於交切
paw	4	○	包	班交切	364	包	班交切
phaw	4	○	胞	披交切	365	胞	披交切
pɦȁw	4	○	庖	蒲交切	366	庖	蒲交切
mȁw	4	○	茅	謨交切	367	茅	謨交切
mȁw	4		毛	莫襃切	367_no_siewx_ghiunh_separator	毛	NA
ʂaw	4	○	梢	所交切	368	梢	所交切
tʂhaw	4	○	䜈	楚交切	369	䜈	楚交切
ʈʂɦȁw	4	○	巢	鋤交切	370	巢	鋤交切
tʂaw	4	○	嘲	陟交切	371	嘲	陟交切
nȁw	4	○	鐃	尼交切	372	鐃	尼交切
ɦȁw	4	○	豪	胡刀切	373	豪	胡刀切
haw	4	○	蒿	呼髙切	374	蒿	呼高切
kaw	4	○	高	姑勞切	375	高	姑勞切
ʔaw	4	○	鏖	於刀切	376	鏖	於刀切
ŋȁw	4	○	敖	牛刀切	377	敖	牛刀切
paw	4	○	襃	博毛切	378	襃	博毛切
saw	4	○	騷	蘇曹切	379	騷	蘇曹切
tshaw	4	○	操	倉刀切	380	操	倉刀切
tsaw	4	○	遭	則刀切	381	遭	則刀切
tsɦȁw	4	○	曹	財勞切	382	曹	財勞切
taw	4	○	刀	都髙切	383	刀	都高切
