Index	小韻	canonicalForm	反切	葉碼
1	東	通開一平東端	德紅	1_15
2	同	通開一平東定	徒紅	1_15/1_17
3	中	通開三平東知	陟弓	1_17
4	蟲	通開三平東澄	直弓	1_17
5	終	通開三平東章	職戎	1_17
6	忡	通開三平東徹	敕中	1_17
7	崇	通開三平東崇	鋤弓	1_17
8	嵩	通開三平東心	息弓	1_17
9	戎	通開三平東日	如融	1_17
10	弓	通開三平東見	居戎	1_17/1_18
11	融	通開三平東以	以戎	1_18
12	雄	通開三平東云	羽弓	1_18
13	瞢	通開三平東明	莫中	1_18
14	穹	通開三平東溪	去宮	1_18
15	窮	通開三平東羣	渠弓	1_18
16	馮	通開三平東並	房戎	1_18
17	風	通開三平東幫	方戎	1_18
18	豐	通開三平東滂	敷空	1_18
19	充	通開三平東昌	昌終	1_18
20	隆	通開三平東來	力中	1_18
21	空	通開一平東溪	苦紅	1_18
22	公	通開一平東見	古紅	1_18/1_19
23	蒙	通開一平東明	莫紅	1_20/1_19
24	籠	通開一平東來	盧紅	1_20
25	洪	通開一平東匣	戸公	1_20
26	叢	通開一平東從	徂紅	1_20
27	翁	通開一平東影	烏紅	1_20
28	怱	通開一平東清	倉紅	1_20
29	通	通開一平東透	他紅	1_20
30	葼	通開一平東精	子紅	1_21/1_20
31	蓬	通開一平東並	薄紅	1_21
32	烘	通開一平東曉	呼東	1_21
33	㟅	通開一平東疑	五東	1_21
34	檧	通開一平東心	蘇公	1_21
35	冬	通開一平冬端	都宗	1_21
36	彤	通開一平冬定	徒冬	1_21
37	賨	通開一平冬從	藏宗	1_21
38	農	通開一平冬泥	奴冬	1_21
39	攻	通開一平冬見	古冬	1_21
40	䃔	通開一平冬匣	戸冬	1_21
41	䃧	通開一平冬來	力冬	1_21
42	宗	通開一平冬精	作冬	1_21
43	鬆	通開一平冬心	私宗	1_21
44	炵	通開一平冬透	他冬	1_21
45	鍾	通開三平鍾章	職容	1_22
46	龍	通開三平鍾來	力鍾	1_22
47	舂	通開三平鍾書	書容	1_22
48	松	通開三平鍾邪	祥容	1_22
49	𧘂	通開三平鍾昌	尺容	1_22
50	容	通開三平鍾以	餘封	1_22
51	封	通開三平鍾幫	府容	1_22
52	胷	通開三平鍾曉	許容	1_23/1_22
53	顒	通開三平鍾疑	魚容	1_23
54	邕	通開三平鍾影	於容	1_23
55	醲	通開三平鍾孃	女容	1_23
56	重	通開三平鍾澄	直容	1_23
57	從	通開三平鍾從	疾容	1_23
58	蹱	通開三平鍾徹	丑凶	1_23
59	逢	通開三平鍾並	符容	1_23
60	峯	通開三平鍾滂	敷容	1_23
61	縱	通開三平鍾精	即容	1_23
62	茸	通開三平鍾日	而容	1_23
63	蛩	通開三平鍾羣	渠容	1_23
64	鱅	通開三平鍾常	蜀庸	1_23
65	恭	通開三平鍾見	九容	1_23/1_24
66	蜙	通開三平鍾心	息恭	1_24
67	樅	通開三平鍾清	七恭	1_24
68	銎	通開三平鍾溪	曲恭	1_24
69	江	江開二平江見	古雙	1_24
70	厖	江開二平江明	莫江	1_24
71	𦗳	江開二平江孃	女江	1_24
72	囪	江開二平江初	楚江	1_24
73	邦	江開二平江幫	博江	1_24
74	栙	江開二平江匣	下江	1_24
75	胮	江開二平江滂	匹江	1_24
76	瀧	江開二平江來	呂江	1_24
77	雙	江開二平江生	所江	1_24
78	龐	江開二平江並	薄江	1_24
79	肛	江開二平江曉	許江	1_25
80	胦	江開二平江影	握江	1_25
81	腔	江開二平江溪	苦江	1_25
82	幢	江開二平江澄	宅江	1_25
83	憃	江開二平江徹	丑江	1_25
84	樁	江開二平江知	都江	1_25
85	㟅	江開二平江疑	五江	1_25
86	淙	江開二平江崇	士江	1_25
87	支	止開三平支章	章移	1_25
88	移	止開三平支以	弋支	1_25
89	爲	止合三平支云	薳支	1_25/1_26
90	嬀	止合三平支見B	居爲	1_26
91	𪎮	止合三平支曉B	許爲	1_26
92	逶	止合三平支影B	於爲	1_26
93	糜	止開三平支明B	靡爲	1_26
94	隓	止合三平支曉A	許規	1_26
95	鬌	止合三平支澄	直垂	1_26
96	𡍮	止合三平支常	是爲	1_26
97	羸	止合三平支來	力爲	1_26
98	吹	止合三平支昌	昌垂	1_26
99	鈹	止開三平支滂B	敷羈	1_26
100	陂	止開三平支幫B	彼爲	1_26
101	隨	止合三平支邪	旬爲	1_26
102	虧	止合三平支溪B	去爲	1_26
103	闚	止合三平支溪A	去隨	1_26
104	竒	止開三平支羣B	渠羈	1_27/1_26
105	祇	止開三平支羣A	巨支	1_27
106	犧	止開三平支曉B	許羈	1_27
107	㩻	止開三平支溪B	去奇	1_27
108	宜	止開三平支疑B	魚羈	1_27
109	皮	止開三平支並B	符羈	1_27
110	提	止開三平支常	是支	1_27
111	兒	止開三平支日	汝移	1_27
112	離	止開三平支來	呂支	1_28/1_27
113	疵	止開三平支從	疾移	1_28
114	貲	止開三平支精	即移	1_28
115	羈	止開三平支見B	居宜	1_28
116	卑	止開三平支幫A	府移	1_28
117	陴	止開三平支並A	符支	1_28
118	䌳	止開三平支書	式支	1_28
119	斯	止開三平支心	息移	1_29/1_28
120	差	止開三平支初	楚宜	1_29
121	摛	止開三平支徹	丑知	1_29
122	彌	止開三平支明A	武移	1_29
123	雌	止開三平支清	此移	1_29
124	知	止開三平支知	陟離	1_29
125	漪	止開三平支影B	於離	1_29
126	馳	止開三平支澄	直離	1_29
127	眭	止合三平支心	息爲	1_29
128	危	止合三平支疑B	魚爲	1_29
129	詑	止開三平支曉A	香支	1_29
130	釃	止開三平支生	所宜	1_29/1_30
131	䪎	止合三平支生	山垂	1_30
132	痿	止合三平支日	人垂	1_30
133	厜	止開三平支精	姊移	1_30
134	𩓸	止合三平支見A	居隋	1_30
135	劑	止合三平支精	遵爲	1_30
136	衰	止合三平支初	楚危	1_30
137	腄	止合三平支知	竹垂	1_30
138	䮔	止合三平支精	子垂	1_30
139	眵	止開三平支昌	叱支	1_30
140	齜	止開三平支莊	側宜	1_30
141	𤿎	止開三平支滂A	匹支	1_30
142	䔺	止合三平支以	悅吹	1_30
143	齹	止開三平支崇	士宜	1_30
144	脂	止開三平脂章	旨夷	1_30
145	姨	止開三平脂以	以脂	1_30
146	師	止開三平脂生	疏夷	1_30/1_31
147	𣬈	止開三平脂並A	房脂	1_31
148	咨	止開三平脂精	即夷	1_31
149	飢	止開三平脂見A	居夷	1_31
150	鴟	止開三平脂昌	處脂	1_31
151	絺	止開三平脂徹	丑飢	1_31
152	郪	止開三平脂清	取私	1_31
153	茨	止開三平脂從	疾資	1_31
154	尼	止開三平脂孃	女夷	1_31
155	墀	止開三平脂澄	直尼	1_32/1_31
156	私	止開三平脂心	息夷	1_32
157	尸	止開三平脂書	式之	1_32
158	鬐	止開三平脂羣A	渠脂	1_32
159	伊	止開三平脂影A	於脂	1_32
160	棃	止開三平脂來	力脂	1_32
161	葵	止合三平脂羣A	渠隹	1_32
162	追	止合三平脂知	陟隹	1_32
163	龜	止合三平脂見B	居追	1_32
164	蕤	止合三平脂日	儒隹	1_32
165	衰	止合三平脂生	所追	1_32
166	惟	止合三平脂以	以追	1_32
167	㶟	止合三平脂來	力追	1_33
168	綏	止合三平脂心	息遺	1_33
169	逵	止合三平脂羣B	渠追	1_33
170	眉	止開三平脂明B	武悲	1_33
171	悲	止開三平脂幫B	府眉	1_33
172	錐	止合三平脂章	職追	1_33
173	誰	止合三平脂常	視隹	1_33
174	帷	止合三平脂云	洧悲	1_33
175	邳	止開三平脂並B	符悲	1_33
176	丕	止開三平脂滂B	敷悲	1_34/1_33
177	倠	止合三平脂曉A	許維	1_34
178	鎚	止合三平脂澄	直追	1_34
179	推	止合三平脂初	叉隹	1_34
180	胝	止開三平脂知	丁尼	1_34
181	紕	止開三平脂滂A	匹夷	1_34
182	嶉	止合三平脂精	醉綏	1_34
183	巋	止合三平脂溪B	丘追	1_34
184	狋	止開三平脂疑A	牛肌	1_34
185	咦	止開三平脂曉A	喜夷	1_34
186	之	止開三平之章	止而	1_34
187	飴	止開三平之以	與之	1_34
188	時	止開三平之常	市之	1_34
189	疑	止開三平之疑	語其	1_34
190	思	止開三平之心	息兹	1_34
191	輜	止開三平之初	楚持	1_34/1_35
192	其	止開三平之羣	渠之	1_35
193	詩	止開三平之書	書之	1_35
194	而	止開三平之日	如之	1_35
195	欺	止開三平之溪	去其	1_35
196	姬	止開三平之見	居之	1_35
197	詞	止開三平之邪	似兹	1_35
198	釐	止開三平之來	里之	1_36/1_35
199	葘	止開三平之莊	側持	1_36
200	僖	止開三平之曉	許其	1_36
201	醫	止開三平之影	於其	1_36
202	癡	止開三平之徹	丑之	1_36
203	治	止開三平之澄	直之	1_36
204	蚩	止開三平之昌	赤之	1_36
205	慈	止開三平之從	疾之	1_36
206	兹	止開三平之精	子之	1_36
207	茬	止開三平之崇	士之	1_36
208	漦	止開三平之俟	俟甾	1_36
209	抾	止開三平之溪	丘之	1_36
210	䀵	止開三平之書	式其	1_36
211	微	止合三平微明	無非	1_36
212	揮	止合三平微曉	許歸	1_36
213	幃	止合三平微云	雨非	1_36/1_37
214	霏	止合三平微滂	芳非	1_37
215	猆	止合三平微幫	甫微	1_37
216	肥	止合三平微並	符非	1_37
217	威	止合三平微影	於非	1_37
218	祈	止開三平微羣	渠希	1_37
219	機	止開三平微見	居依	1_37
220	希	止開三平微曉	香衣	1_37
221	依	止開三平微影	於希	1_37/1_38
222	沂	止開三平微疑	魚衣	1_38
223	巍	止合三平微疑	語韋	1_38
224	歸	止合三平微見	舉韋	1_38
225	蘬	止合三平微溪	丘韋	1_38
226	魚	遇開三平魚疑	語居	1_38
227	初	遇開三平魚初	楚居	1_38
228	書	遇開三平魚書	傷魚	1_38
229	居	遇開三平魚見	九魚	1_38
230	渠	遇開三平魚羣	強魚	1_38
231	余	遇開三平魚以	以諸	1_38/1_39
232	胥	遇開三平魚心	相居	1_39
233	疽	遇開三平魚清	七余	1_39
234	鉏	遇開三平魚崇	士魚	1_39
235	攄	遇開三平魚徹	丑居	1_39
236	䟽	遇開三平魚生	所葅	1_39
237	虚	遇開三平魚曉	朽居	1_39
238	徐	遇開三平魚邪	似魚	1_39
239	於	遇開三平魚影	央居	1_39
240	豬	遇開三平魚知	陟魚	1_39
241	臚	遇開三平魚來	力居	1_40/1_39
242	諸	遇開三平魚章	章魚	1_40
243	除	遇開三平魚澄	直魚	1_40
244	如	遇開三平魚日	人諸	1_40
245	且	遇開三平魚精	子魚	1_40
246	虚	遇開三平魚溪	去魚	1_40
247	菹	遇開三平魚莊	側魚	1_40
248	蜍	遇開三平魚常	署魚	1_41/1_40
249	袽	遇開三平魚孃	女余	1_41
250	虞	遇合三平虞疑	遇俱	1_41
251	芻	遇合三平虞初	測隅	1_41
252	無	遇合三平虞明	武夫	1_41
253	于	遇合三平虞云	羽俱	1_42/1_41
254	訏	遇合三平虞曉	況于	1_42
255	衢	遇合三平虞羣	其俱	1_42
256	儒	遇合三平虞日	人朱	1_42
257	須	遇合三平虞心	相俞	1_42
258	株	遇合三平虞知	陟輸	1_42
259	貙	遇合三平虞徹	敕俱	1_43/1_42
260	殊	遇合三平虞常	市朱	1_43
261	逾	遇合三平虞以	羊朱	1_43
262	區	遇合三平虞溪	豈俱	1_43
263	朱	遇合三平虞章	章俱	1_43
264	趨	遇合三平虞清	七逾	1_43
265	慺	遇合三平虞來	力朱	1_43
266	扶	遇合三平虞並	防無	1_43/1_44
267	䅳	遇合三平虞崇	仕于	1_44
268	㑳	遇合三平虞莊	莊俱	1_44
269	敷	遇合三平虞滂	芳無	1_44
270	諏	遇合三平虞精	子于	1_44
271	跗	遇合三平虞幫	甫無	1_44
272	紆	遇合三平虞影	憶俱	1_45/1_44
273	輸	遇合三平虞書	式朱	1_45
274	樞	遇合三平虞昌	昌朱	1_45
275	廚	遇合三平虞澄	直誅	1_45
276	拘	遇合三平虞見	舉朱	1_45
277	毹	遇合三平虞生	山芻	1_45
278	模	遇開一平模明	莫胡	1_45
279	酺	遇開一平模並	薄胡	1_45
280	胡	遇開一平模匣	戸吳	1_45
281	孤	遇開一平模見	古胡	1_46
282	徒	遇開一平模定	同都	1_46
283	奴	遇開一平模泥	乃都	1_46
284	呼	遇開一平模曉	荒烏	1_46
285	吾	遇開一平模疑	五乎	1_47/1_46
286	租	遇開一平模精	則吾	1_47
287	盧	遇開一平模來	落胡	1_47
288	蘇	遇開一平模心	素姑	1_47
289	徂	遇開一平模從	昨胡	1_47
290	烏	遇開一平模影	哀都	1_47
291	逋	遇開一平模幫	博孤	1_47
292	枯	遇開一平模溪	苦胡	1_47
293	麤	遇開一平模清	倉胡	1_48/1_47
294	㻌	遇開一平模透	他胡	1_48
295	都	遇開一平模端	當孤	1_48
296	𥠵	遇開一平模滂	普胡	1_48
297	齊	蟹開四平齊從	徂奚	1_48
298	黎	蟹開四平齊來	郎奚	1_48
299	妻	蟹開四平齊清	七稽	1_48
300	低	蟹開四平齊端	都奚	1_48
301	嗁	蟹開四平齊定	杜奚	1_49/1_48
302	豍	蟹開四平齊幫	邊兮	1_49
303	雞	蟹開四平齊見	古奚	1_49
304	奚	蟹開四平齊匣	胡雞	1_49
305	鷖	蟹開四平齊影	烏奚	1_49
306	倪	蟹開四平齊疑	五稽	1_50/1_49
307	醯	蟹開四平齊曉	呼雞	1_50
308	西	蟹開四平齊心	先稽	1_50
309	梯	蟹開四平齊透	土雞	1_50
310	鼙	蟹開四平齊並	部迷	1_50
311	磇	蟹開四平齊滂	匹迷	1_50
312	齎	蟹開四平齊精	祖稽	1_50
313	迷	蟹開四平齊明	莫兮	1_50
314	泥	蟹開四平齊泥	奴低	1_50
315	谿	蟹開四平齊溪	苦奚	1_50
316	圭	蟹合四平齊見	古攜	1_50/1_51
317	睽	蟹合四平齊溪	苦圭	1_51
318	攜	蟹合四平齊匣	戸圭	1_51
319	臡	蟹開四平齊日	人兮	1_51
320	栘	蟹開四平齊常	成臡	1_51
321	烓	蟹合四平齊影	烏攜	1_51
322	睳	蟹合四平齊曉	呼攜	1_51
323	佳	蟹開二平佳見	古膎	1_51
324	㥟	蟹開二平佳匣	戸佳	1_51
325	牌	蟹開二平佳並	薄佳	1_51
326	媧	蟹合二平佳見	古蛙	1_51
327	蛙	蟹合二平佳影	烏媧	1_51
328	咼	蟹合二平佳溪	苦緺	1_51
329	柴	蟹開二平佳崇	士佳	1_51
330	釵	蟹開二平佳初	楚佳	1_51
331	竵	蟹合二平佳曉	火媧	1_51
332	䍲	蟹開二平佳孃	妳佳	1_51
333	崖	蟹開二平佳疑	五佳	1_51
334	娃	蟹開二平佳影	於佳	1_51
335	崽	蟹開二平佳生	山佳	1_51/1_52
336	㗨	蟹開二平佳曉	火佳	1_52
337	扠	蟹開二平佳徹	丑佳	1_52
338	䁲	蟹開二平佳明	莫佳	1_52
339	鼃	蟹合二平佳匣	戸媧	1_52
340	皆	蟹開二平皆見	古諧	1_52
341	𢰇	蟹開二平皆影	乙諧	1_52
342	諧	蟹開二平皆匣	戸皆	1_52
343	排	蟹開二平皆並	步皆	1_52
344	乖	蟹合二平皆見	古懷	1_52
345	懷	蟹合二平皆匣	戸乖	1_52
346	匯	蟹合二平皆溪	苦淮	1_52
347	豺	蟹開二平皆崇	士皆	1_52
348	差	蟹開二平皆初	楚皆	1_52
349	虺	蟹合二平皆曉	呼懷	1_52
350	尵	蟹合二平皆澄	柱懷	1_52
351	埋	蟹開二平皆明	莫皆	1_52
352	齋	蟹開二平皆莊	側皆	1_52
353	崴	蟹合二平皆影	乙皆	1_52
354	𪘨	蟹開二平皆知	卓皆	1_52
355	唻	蟹開二平皆來	賴諧	1_52
356	揩	蟹開二平皆溪	口皆	1_52
357	摨	蟹開二平皆孃	諾皆	1_52
358	崽	蟹開二平皆生	山皆	1_52
359	𩂢	蟹開二平皆疑	擬皆	1_52
360	搋	蟹開二平皆徹	丑皆	1_52
361	𢓬	蟹開二平皆曉	喜皆	1_52
362	䐯	蟹合二平皆來	力懷	1_52
363	膗	蟹合二平皆崇	仕懷	1_52/1_53
364	灰	蟹合一平灰曉	呼恢	1_53
365	恢	蟹合一平灰溪	苦回	1_53
366	隈	蟹合一平灰影	烏恢	1_53
367	回	蟹合一平灰匣	戸恢	1_53
368	枚	蟹合一平灰明	莫杯	1_53
369	傀	蟹合一平灰見	公回	1_53
370	雷	蟹合一平灰來	魯回	1_53
371	穨	蟹合一平灰定	杜回	1_53
372	崔	蟹合一平灰清	倉回	1_53
373	磓	蟹合一平灰端	都回	1_53
374	𤗯	蟹合一平灰心	素回	1_53/1_54
375	摧	蟹合一平灰從	昨回	1_54
376	裴	蟹合一平灰並	薄回	1_54
377	桮	蟹合一平灰幫	布回	1_54
378	肧	蟹合一平灰滂	芳杯	1_54
379	鮠	蟹合一平灰疑	五灰	1_54
380	𨌴	蟹合一平灰透	他回	1_54
381	𢅼	蟹合一平灰泥	乃回	1_54
382	嗺	蟹合一平灰精	臧回	1_54
383	咍	蟹開一平咍曉	呼來	1_54
384	開	蟹開一平咍溪	苦哀	1_54
385	哀	蟹開一平咍影	烏開	1_54
386	臺	蟹開一平咍定	徒哀	1_54
387	該	蟹開一平咍見	古哀	1_54
388	裁	蟹開一平咍從	昨哉	1_54
389	來	蟹開一平咍來	落哀	1_54/1_55
390	烖	蟹開一平咍精	祖才	1_55
391	猜	蟹開一平咍清	倉才	1_55
392	𤗏	蟹開一平咍並	扶來	1_55
393	胎	蟹開一平咍透	土來	1_55
394	孩	蟹開一平咍匣	戸來	1_55
395	鰓	蟹開一平咍心	蘇來	1_55
396	皚	蟹開一平咍疑	五來	1_55
397	能	蟹開一平咍泥	奴來	1_55
398	𪒴	蟹開一平咍端	丁來	1_55
399	㹗	蟹開一平咍昌	昌來	1_55
400	𡜊	蟹開一平咍滂	普才	1_55
401	眞	臻開三平眞章	職鄰	1_55
402	𤣆	臻開三平眞徹	丑人	1_55
403	因	臻開三平眞影A	於眞	1_55/1_56
404	新	臻開三平眞心	息鄰	1_56
405	辰	臻開三平眞常	植鄰	1_56
406	仁	臻開三平眞日	如鄰	1_56
407	神	臻開三平眞船	食鄰	1_56
408	親	臻開三平眞清	七人	1_56
409	礥	臻開三平眞云	下珍	1_56
410	申	臻開三平眞書	失人	1_56
411	賔	臻開三平眞幫A	必鄰	1_56
412	㷠	臻開三平眞來	力珍	1_56
413	𥎊	臻開三平眞羣B	巨巾	1_56
414	珍	臻開三平眞知	陟鄰	1_56/1_57
415	陳	臻開三平眞澄	直珍	1_57
416	津	臻開三平眞精	將鄰	1_57
417	瞋	臻開三平眞昌	昌眞	1_57
418	秦	臻開三平眞從	匠鄰	1_57
419	寅	臻開三平眞以	翼眞	1_57
420	紉	臻開三平眞孃	女鄰	1_57
421	繽	臻開三平眞滂A	匹賓	1_57
422	頻	臻開三平眞並A	符眞	1_57
423	銀	臻開三平眞疑B	語巾	1_57
424	巾	臻開三平眞見B	居銀	1_57
425	麏	臻合三平眞見B	居筠	1_57
426	筠	臻合三平眞云	爲贇	1_57
427	囷	臻合三平眞溪B	去倫	1_57
428	珉	臻開三平眞明B	武巾	1_58/1_57
429	貧	臻開三平眞並B	符巾	1_58
430	𪔗	臻開三平眞影B	於巾	1_58
431	贇	臻合三平眞影B	於倫	1_58
432	彬	臻開三平眞幫B	府巾	1_58
433	民	臻開三平眞明A	彌鄰	1_58
434	諄	臻合三平諄章	章倫	1_58
435	椿	臻合三平諄徹	丑倫	1_58
436	䣩	臻合三平諄澄	直倫	1_58
437	荀	臻合三平諄心	相倫	1_58
438	純	臻合三平諄常	常倫	1_58
439	犉	臻合三平諄日	如勻	1_58
440	脣	臻合三平諄船	食倫	1_58
441	淪	臻合三平諄來	力迍	1_58
442	屯	臻合三平諄知	陟綸	1_58
443	逡	臻合三平諄清	七倫	1_58/1_59
444	遵	臻合三平諄精	將倫	1_59
445	春	臻合三平諄昌	昌脣	1_59
446	鷷	臻合三平諄從	昨旬	1_59
447	勻	臻合三平諄以	羊倫	1_59
448	旬	臻合三平諄邪	詳遵	1_59
449	均	臻合三平諄見	居勻	1_59
450	𧼒	臻開三平眞羣A	渠人	1_59
451	砏	臻開三平眞滂B	普巾	1_59
452	臻	臻開三平臻莊	側詵	1_59
453	莘	臻開三平臻生	所臻	1_59
454	𦿒	臻開三平臻崇	士臻	1_59
455	文	臻合三平文明	無分	1_59
456	雲	臻合三平文云	王分	1_59/1_60
457	煴	臻合三平文影	於云	1_60
458	汾	臻合三平文並	符分	1_60
459	分	臻合三平文幫	府文	1_60
460	羣	臻合三平文羣	渠云	1_60
461	薰	臻合三平文曉	許云	1_60
462	君	臻合三平文見	舉云	1_61/1_60
463	芬	臻合三平文滂	撫文	1_61
464	欣	臻開三平欣曉	許斤	1_61
465	殷	臻開三平欣影	於斤	1_61
466	勤	臻開三平欣羣	巨斤	1_61
467	斤	臻開三平欣見	舉欣	1_61
468	䖐	臻開三平欣疑	語斤	1_61
469	元	臻合三平元疑	愚袁	1_61
470	袁	臻合三平元云	雨元	1_61/1_62
471	煩	臻合三平元並	附袁	1_62
472	飜	臻合三平元滂	孚袁	1_62
473	暄	臻合三平元曉	況袁	1_62
474	鴛	臻合三平元影	於袁	1_62
475	言	臻開三平元疑	語軒	1_62
476	攑	臻開三平元溪	丘言	1_62
477	軒	臻開三平元曉	虚言	1_62
478	𢳚	臻開三平元見	居言	1_62
479	蔫	臻開三平元影	謁言	1_63/1_62
480	蕃	臻合三平元幫	甫煩	1_63
481	𥴤	臻開三平元羣	巨言	1_63
482	樠	臻合三平元明	武元	1_63
483	䰟	臻合一平魂匣	戸昆	1_63
484	昆	臻合一平魂見	古渾	1_63
485	𥁕	臻合一平魂影	烏渾	1_63
486	門	臻合一平魂明	莫奔	1_63
487	孫	臻合一平魂心	思渾	1_64/1_63
488	尊	臻合一平魂精	祖昆	1_64
489	存	臻合一平魂從	徂尊	1_64
490	敦	臻合一平魂端	都昆	1_64
491	暾	臻合一平魂透	他昆	1_64
492	屯	臻合一平魂定	徒渾	1_64
493	村	臻合一平魂清	此尊	1_64
494	㑮	臻合一平魂疑	牛昆	1_64
495	盆	臻合一平魂並	蒲奔	1_64
496	奔	臻合一平魂幫	博昆	1_64
497	論	臻合一平魂來	盧昆	1_65/1_64
498	坤	臻合一平魂溪	苦昆	1_65
499	昏	臻合一平魂曉	呼昆	1_65
500	濆	臻合一平魂滂	普魂	1_65
501	黁	臻合一平魂泥	奴昆	1_65
502	痕	臻開一平痕匣	戸恩	1_65
503	根	臻開一平痕見	古痕	1_65
504	恩	臻開一平痕影	烏痕	1_65
505	吞	臻開一平痕透	吐根	1_65
506	垠	臻開一平痕疑	五根	1_65
507	寒	山開一平寒匣	胡安	1_65
508	豻	山開一平寒疑	俄寒	1_65
509	單	山開一平寒端	都寒	1_65
510	安	山開一平寒影	烏寒	1_65
511	難	山開一平寒泥	那干	1_65
512	餐	山開一平寒清	七安	1_65
513	灘	山開一平寒透	他干	1_65/1_66
514	𦙽	山開一平寒心	蘇干	1_66
515	壇	山開一平寒定	徒干	1_66
516	殘	山開一平寒從	昨干	1_66
517	干	山開一平寒見	古寒	1_66
518	蘭	山開一平寒來	落干	1_66
519	看	山開一平寒溪	苦寒	1_66
520	頇	山開一平寒曉	許干	1_66
521	濡	山合一平桓泥	乃官	1_66
522	桓	山合一平桓匣	胡官	1_67/1_66
523	岏	山合一平桓疑	五丸	1_67
524	端	山合一平桓端	多官	1_67
525	剜	山合一平桓影	一丸	1_67
526	湍	山合一平桓透	他端	1_67
527	酸	山合一平桓心	素官	1_67
528	團	山合一平桓定	度官	1_67
529	櫕	山合一平桓從	在丸	1_67
530	官	山合一平桓見	古丸	1_67
531	鑾	山合一平桓來	落官	1_67/1_68
532	歡	山合一平桓曉	呼官	1_68
533	寬	山合一平桓溪	苦官	1_68
534	鑚	山合一平桓精	借官	1_68
535	槃	山合一平桓並	薄官	1_68
536	瞞	山合一平桓明	母官	1_68
537	潘	山合一平桓滂	普官	1_68
538	𤳖	山合一平桓幫	北潘	1_68
539	刪	山開二平刪生	所姦	1_68
540	關	山合二平刪見	古還	1_68
541	彎	山合二平刪影	烏關	1_68
542	𣠯	山合二平刪生	數還	1_68
543	還	山合二平刪匣	戸關	1_69/1_68
544	班	山開二平刪幫	布還	1_69
545	蠻	山開二平刪明	莫還	1_69
546	顏	山開二平刪疑	五姦	1_69
547	姦	山開二平刪見	古顔	1_69
548	攀	山開二平刪滂	普班	1_69
549	奻	山合二平刪孃	奴還	1_69
550	𤸷	山合二平刪疑	五還	1_69
551	馯	山開二平刪溪	丘姦	1_69
552	豻	山開二平刪溪	可顔	1_69
553	跧	山合二平刪莊	阻頑	1_69
554	山	山開二平山生	所閒	1_69
555	鰥	山合二平山見	古頑	1_69
556	閒	山開二平山見	古閑	1_69
557	閑	山開二平山匣	戸閒	1_69
558	慳	山開二平山溪	苦閑	1_69
559	虥	山開二平山崇	士山	1_69
560	羴	山開二平山曉	許閒	1_69
561	詽	山開二平山疑	五閑	1_70/1_69
562	黰	山開二平山影	烏閑	1_70
563	斒	山開二平山幫	方閑	1_70
564	斕	山開二平山來	力閑	1_70
565	嘫	山開二平山孃	女閑	1_70
566	㺗	山開二平山昌	充山	1_70
567	嬽	山合二平山云	委鰥	1_70
568	窀	山合二平山定	墜頑	1_70
569	𡰠	山合二平山來	力頑	1_70
570	𡰝	山合二平山羣	跪頑	1_70
571	譠	山開二平山知	陟山	1_70
572	𤣆	山開二平山澄	直閑	1_70
573	湲	山合二平山匣	獲頑	1_70
574	虥	山開二平山從	昨閑	1_70
575	先	山開四平先心	蘇前	2_4
576	前	山開四平先從	昨先	2_4
577	千	山開四平先清	蒼先	2_4
578	箋	山開四平先精	則前	2_4
579	天	山開四平先透	他前	2_4
580	堅	山開四平先見	古賢	2_4
581	賢	山開四平先匣	胡田	2_5/2_4
582	煙	山開四平先影	烏前	2_5
583	蓮	山開四平先來	落賢	2_5
584	田	山開四平先定	徒年	2_5
585	秊	山開四平先泥	奴顚	2_5
586	顚	山開四平先端	都年	2_5
587	牽	山開四平先溪	苦堅	2_5
588	姸	山開四平先疑	五堅	2_5
589	眠	山開四平先明	莫賢	2_5
590	蹁	山開四平先並	部田	2_5
591	淵	山合四平先影	烏玄	2_5
592	涓	山合四平先見	古玄	2_6/2_5
593	鋗	山合四平先曉	火玄	2_6
594	邊	山開四平先幫	布玄	2_6
595	玄	山合四平先匣	胡涓	2_6
596	祆	山開四平先曉	呼煙	2_6
597	𤜼	山開四平先崇	崇玄	2_6
598	仙	山開三平仙心	相然	2_6
599	錢	山開三平仙從	昨仙	2_6
600	遷	山開三平仙清	七然	2_6
601	煎	山開三平仙精	子仙	2_6
602	然	山開三平仙日	如延	2_6
603	延	山開三平仙以	以然	2_6
604	𩜾	山開三平仙章	諸延	2_7/2_6
605	甄	山開三平仙見A	居延	2_7
606	邅	山開三平仙知	張連	2_7
607	潺	山開三平仙崇	士連	2_7
608	羶	山開三平仙書	式連	2_7
609	脠	山開三平仙徹	丑延	2_7
610	鋋	山開三平仙常	市連	2_7
611	纏	山開三平仙澄	直連	2_7
612	嘕	山開三平仙曉A	許延	2_7
613	連	山開三平仙來	力延	2_7
614	篇	山開三平仙滂A	芳連	2_7
615	便	山開三平仙並A	房連	2_7
616	緜	山開三平仙明A	武延	2_7/2_8
617	全	山合三平仙從	疾緣	2_8
618	宣	山合三平仙心	須緣	2_8
619	鐫	山合三平仙精	子泉	2_8
620	翾	山合三平仙曉A	許緣	2_8
621	堧	山合三平仙日	而緣	2_8
622	穿	山合三平仙昌	昌緣	2_8
623	沿	山合三平仙以	與專	2_8
624	旋	山合三平仙邪	似宣	2_8
625	娟	山合三平仙影A	於緣	2_8
626	船	山合三平仙船	食川	2_8
